version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10157507
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    68.053     0.215     6.633     0.008     6.639     0.004     0.894     0.010    67.364     0.007    0.0103    0.0009     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    47.957     0.019      28.1       4.5      52.9      21.1     1.000     0.000
  0    54.227     0.010      42.2       4.2      62.0      17.4     1.000     0.000
  0    60.736     0.010      63.6       3.1      39.1       8.7     1.000     0.000
  0    67.388     0.008      85.0       3.3      45.7       7.4     1.000     0.000
  0    73.970     0.015      62.9       3.0      23.1       4.4     1.000     0.000
  0    80.868     0.028      37.4       2.6      13.4       3.6     1.000     0.000
  0    87.660     0.046      23.6       2.7      12.0       4.4     1.000     0.000
  0    94.371     0.019       9.8       1.9      40.9      13.8     1.000     0.000
  2    53.365     0.016      26.3       4.2      18.7      11.1     1.000     0.000
  2    59.807     0.017      52.2       4.6       8.0       8.0     1.000     0.000
  2    66.503     0.009      78.3       5.8      11.1      18.7     1.000     0.000
  2    73.111     0.018      60.5       3.5       4.0       4.0     1.000     0.000
  2    79.865     0.023      34.4       3.0       6.3       6.3     1.000     0.000
  2    86.811     0.046      26.6       2.6       3.6       3.6     1.000     0.000
  1    51.234     0.033      15.5       7.1     250.8     131.2     0.456     0.947
  1    51.276     0.011      19.2       6.5     223.4     125.7     0.996     0.947
  1    57.325     0.013      16.6       6.5     207.5     124.7     0.858     0.902
  1    57.473     0.011      37.7       8.9      88.4      68.5     1.000     0.997
  1    57.531     0.007      36.4       9.1     225.6     131.3     1.000     0.997
  1    57.614     0.004      22.2       4.6     307.8     108.0     1.000     0.972
  1    57.684     0.011      14.4       4.4     235.8     123.4     0.361     0.972
  1    63.698     0.007      14.8       4.4     286.9     122.7     0.999     0.938
  1    63.790     0.043      11.7       4.8     234.5     119.7     0.265     0.938
  1    63.951     0.005      16.7       4.8     324.7     113.5     1.000     1.000
  1    64.043     0.004      18.0       4.6     345.2     101.7     1.000     1.000
  1    64.077     0.005      25.3       6.0     303.0     118.4     1.000     0.999
  1    64.174     0.006      45.5      11.8     304.3     118.3     1.000     0.999
  1    64.229     0.010      54.8      10.8     118.7      63.8     1.000     0.999
  1    64.346     0.006      21.5       5.0     277.5     112.3     1.000     1.000
  1    64.442     0.013      18.4       5.3     211.6     116.8     0.991     1.000
  1    64.875     0.002       8.8       5.3       0.0       0.0     0.428     0.581
  1    65.023     0.002       7.8       4.9       0.0       0.0     0.855     0.581
  1    69.829     0.002       9.8       4.0       0.0       0.0     1.000     0.685
  1    70.165     0.007      16.1       5.1     274.5     117.4     1.000     0.903
  1    70.473     0.004      52.9       8.4     239.7      97.1     1.000     1.000
  1    70.616     0.008      18.8       5.8     281.6     116.9     0.997     1.000
  1    70.693     0.005      33.2       5.6     174.8      81.5     1.000     0.908
  1    70.745     0.005      16.8       4.6     319.8     113.3     0.723     0.908
  1    70.829     0.035      26.1      10.3     173.5     110.7     0.992     1.000
  1    70.942     0.008      54.0       9.1     123.8      65.5     1.000     1.000
  1    71.278     0.009      20.3       4.6     190.5      99.1     1.000     1.000
  1    71.408     0.036      11.8       4.2     267.0     119.8     0.646     1.000
  1    71.626     0.006       9.3       3.6     336.9     108.5     0.380     0.775
  1    71.700     0.018      12.0       4.1     281.3     110.3     0.638     0.775
  1    77.028     0.004      15.8       2.0     160.9      71.5     1.000     1.000
  1    77.162     0.013      10.3       2.1     161.2      98.9     0.346     1.000
  1    77.369     0.018      28.1       8.9     164.5     117.4     1.000     1.000
  1    77.474     0.010      38.9       9.0     106.2      76.0     1.000     1.000
  1    77.608     0.015      29.4       6.5     110.0      70.7     1.000     1.000
  1    77.788     0.009      19.2       3.9     119.0      65.0     1.000     1.000
  1    77.973     0.008      14.2       4.2     260.5     119.0     0.995     1.000
  1    82.536     0.002       4.9       2.9       0.0       0.0     0.711     0.727
  1    83.000     0.002       4.7       3.1       0.0       0.0     0.699     0.539
  1    83.406     0.006      11.4       2.2     229.8      93.6     0.996     0.918
  1    83.845     0.010      14.0       3.7     200.7     106.0     0.999     0.968
  1    83.893     0.006      13.0       3.6     315.5     117.5     1.000     0.968
  1    84.255     0.009      21.6       2.3      69.8      12.7     1.000     1.000
  1    84.564     0.008      17.8       4.2     214.8     113.1     1.000     1.000
  1    84.673     0.013      17.4       4.0     138.6      84.0     1.000     1.000
  1    85.991     0.003       4.1       2.6       0.0       0.0     0.861     0.371
  1    91.568     0.008       7.8       2.9     303.7     111.8     0.957     0.826
  3    68.616     0.008      23.5       2.5      73.1      18.3     1.000     0.999
  3    75.304     0.006      19.0       3.5     185.0     103.6     1.000     1.000
  3    75.401     0.023      11.7       3.5     148.3     101.2     0.343     1.000
