version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5788354
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    37.337     0.215     4.395     0.012     4.337     0.007     0.649     0.017    38.666     0.014    0.0214    0.0025     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    22.002     0.123      27.0      10.3      50.0      25.7     0.938     0.000
  0    26.036     0.023      46.1       7.3      47.2      18.6     1.000     0.000
  0    30.223     0.021      80.1       6.0      24.1       7.1     1.000     0.000
  0    34.286     0.015      88.5       5.1      30.3       7.4     1.000     0.000
  0    38.737     0.015      92.1       4.2      25.1       5.8     1.000     0.000
  0    43.028     0.022      73.1       6.1      20.1       6.0     1.000     0.000
  0    47.331     0.039      57.6       1.9       3.9       0.6     1.000     0.000
  2    29.564     0.033      64.6       7.5       8.2       4.3     1.000     0.000
  2    33.614     0.028      77.4       7.0       5.4       5.4     1.000     0.000
  2    38.142     0.030      78.8       6.9       4.3       8.2     1.000     0.000
  2    42.395     0.019      81.5       4.3       5.3       5.3     1.000     0.000
  2    51.315     0.153      36.2       3.5       2.1       2.1     1.000     0.000
  1    31.664     0.002      15.8       7.3       0.0       0.0     0.999     0.583
  1    31.932     0.003      42.1       8.0     365.2      85.3     1.000     0.818
  1    32.160     0.005      26.8       6.4     283.7     113.7     0.825     0.836
  1    32.197     0.004      22.6       6.0     336.3     103.8     0.646     0.836
  1    32.409     0.010      41.2      18.7     278.6     112.5     0.967     0.910
  1    32.653     0.011      37.6      16.4     294.2     107.8     0.940     0.910
  1    32.928     0.008      30.1      12.9     341.7      98.1     0.999     0.803
  1    35.495     0.008      22.2       8.6     302.0     114.9     0.709     0.894
  1    35.848     0.001      20.6       6.2       0.0       0.0     1.000     0.578
  1    36.168     0.004      17.5       8.5       0.0       0.0     0.846     0.682
  1    36.189     0.002      19.3       9.0       0.0       0.0     1.000     0.682
  1    36.477     0.004      27.6       7.8     350.7     107.1     0.971     1.000
  1    36.510     0.005      38.5       8.4     257.0     110.6     1.000     1.000
  1    36.773     0.002      46.4       7.6     389.7      73.3     1.000     0.751
  1    37.453     0.002      41.3       5.7     362.9      81.5     1.000     0.841
  1    37.947     0.003      17.6       9.3       0.0       0.0     1.000     0.638
  1    39.899     0.005      13.0       7.9       0.0       0.0     1.000     0.462
  1    40.350     0.004      44.2       9.7     332.4      99.0     1.000     0.894
  1    40.731     0.011      32.7      12.7     198.1     114.2     0.995     0.988
  1    41.078     0.013      36.4      14.0     162.3     102.6     1.000     0.998
  1    41.469     0.008      34.9      13.5     295.3     100.1     1.000     0.940
  1    43.401     0.002       9.6       4.8       0.0       0.0     0.593     0.726
  1    44.443     0.005      23.8       5.5     377.9      79.0     1.000     0.833
  1    44.891     0.007      20.1       5.4     282.2     112.6     0.296     0.887
  1    44.918     0.003      24.8       5.3     361.2      88.8     1.000     0.887
  1    45.359     0.011      39.1      13.9     149.5     101.8     1.000     0.999
  1    45.735     0.007      27.8       7.0     269.3     108.0     1.000     1.000
  1    45.821     0.018      20.3       6.4     280.2     110.5     0.866     1.000
  1    46.303     0.008      25.1       9.6     342.1      91.5     1.000     0.810
  1    46.872     0.002      12.1       7.7       0.0       0.0     0.999     0.575
  1    49.330     0.007      17.7       5.5     312.2     106.8     1.000     0.872
  1    49.839     0.009      18.1       6.8     280.4     117.7     0.985     0.911
  1    51.681     0.008      10.3       4.9       0.0       0.0     0.214     0.740
  1    51.720     0.002       6.3       3.4       0.0       0.0     0.575     0.515
  1    51.862     0.002       6.7       4.1       0.0       0.0     0.554     0.740
  3    43.901     0.005      11.7       6.1       0.0       0.0     0.980     0.643
