version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  7685316
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    37.468     0.211     4.292     0.010     4.148     0.017     0.649     0.019    33.509     0.012    0.0272    0.0048     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    17.601     0.136      31.8      12.9      50.4      25.3     0.910     0.000
  0    29.498     0.024      77.0       8.3      25.6      13.4     1.000     0.000
  0    33.462     0.015     105.9       4.8      25.8       6.7     1.000     0.000
  0    37.766     0.011      94.6       4.8      40.0      10.5     1.000     0.000
  0    42.009     0.017      87.5       7.0      25.9       7.8     1.000     0.000
  0    46.233     0.058      60.1       6.3       8.3       2.9     1.000     0.000
  0    50.696     0.038      34.1       6.6      18.4      10.8     1.000     0.000
  2    28.910     0.056      60.9      12.6      14.3      10.7     1.000     0.000
  2    32.765     0.037      92.1       8.2       3.8       3.8     1.000     0.000
  2    37.086     0.019      75.3       7.6      10.7      14.3     1.000     0.000
  2    41.370     0.033      97.4       3.7       2.2       2.2     1.000     0.000
  2    45.547     0.065      58.9       7.3       6.9       6.9     1.000     0.000
  2    49.938     0.138      45.0       4.5       2.5       2.5     1.000     0.000
  2    54.162     0.022      25.2       5.1      15.4      15.4     1.000     0.000
  1    26.998     0.002      13.5       7.9       0.0       0.0     0.641     0.532
  1    27.620     0.003      16.1      10.2       0.0       0.0     0.860     0.688
  1    31.396     0.004      41.5       8.9     308.9     112.9     1.000     0.924
  1    31.636     0.017      25.8       8.4     262.8     132.2     0.347     1.000
  1    31.714     0.005      46.6       9.7     287.5     111.4     1.000     1.000
  1    31.902     0.010      30.8       9.8     257.4     113.2     0.939     1.000
  1    31.968     0.028      25.2      10.0     268.8     114.7     0.477     1.000
  1    32.159     0.002      17.7       9.6       0.0       0.0     0.986     0.574
  1    34.939     0.002      15.5       8.8       0.0       0.0     0.979     0.673
  1    35.046     0.007      19.4       9.4       0.0       0.0     0.556     0.673
  1    35.291     0.011      43.7      10.8     178.5     107.7     1.000     1.000
  1    35.398     0.006      46.0      11.3     238.5     118.0     1.000     1.000
  1    35.603     0.021      28.6       9.4     239.8     128.8     0.875     1.000
  1    35.717     0.007      41.3      10.0     236.4     121.5     1.000     1.000
  1    35.902     0.008      54.0      11.5     168.2      91.4     1.000     1.000
  1    36.008     0.009      41.6      10.7     227.7     114.5     1.000     1.000
  1    36.261     0.016      30.1       9.8     281.8     108.0     0.924     0.880
  1    36.372     0.004      25.8       7.2     344.3     100.3     0.995     0.880
  1    37.631     0.002      12.1       7.8       0.0       0.0     0.845     0.497
  1    39.359     0.005      32.9       9.0     318.2     110.1     1.000     1.000
  1    39.463     0.009      37.2       9.1     232.8     103.1     1.000     1.000
  1    39.790     0.011      62.2      12.9     124.3      73.5     1.000     1.000
  1    39.862     0.013      48.5      13.6     306.6     116.1     1.000     1.000
  1    40.151     0.007      78.7      18.2     234.1     107.5     1.000     1.000
  1    40.210     0.016      53.3      17.1     238.3     119.1     1.000     1.000
  1    40.570     0.052      21.0       9.4     304.8     104.6     0.366     1.000
  1    40.646     0.009      43.6      10.8     226.6      90.3     1.000     1.000
  1    41.142     0.002       8.7       3.9       0.0       0.0     0.201     0.555
  1    43.348     0.005      26.6       7.1     324.0     102.5     1.000     0.880
  1    43.770     0.006      34.5       9.0     266.9     117.7     1.000     1.000
  1    43.853     0.007      37.5       9.3     231.9     112.1     1.000     1.000
  1    44.211     0.011      54.7      11.9     110.2      68.9     1.000     1.000
  1    44.294     0.030      34.4      13.0     205.6     115.9     0.993     1.000
  1    44.681     0.004      35.3       7.9     314.6     103.8     1.000     0.885
  1    44.762     0.010      21.4       6.4     329.2     105.0     0.955     0.885
  1    48.496     0.007      30.0       3.6      73.1      14.7     1.000     1.000
  3    34.204     0.004      11.0       4.1       0.0       0.0     0.993     0.714
  3    42.735     0.009      19.3       4.1     152.8      84.5     0.357     0.941
