version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6188215
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   113.845     0.591     8.728     0.025     8.715     0.010     1.071     0.014   106.143     0.014    0.0032    0.0015     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    88.930     0.018      15.5       1.8      29.9      11.2     1.000     0.000
  0    97.361     0.021      19.4       1.7      23.0       6.5     1.000     0.000
  0   106.190     0.017      26.4       1.0      19.6       4.1     1.000     0.000
  0   114.893     0.026      25.7       1.1      11.9       2.5     1.000     0.000
  0   123.507     0.042      20.9       1.3       8.3       1.8     1.000     0.000
  0   132.340     0.140      14.5       2.3       5.3       2.3     1.000     0.000
  0   141.347     0.156      11.2       2.1       5.8       4.1     1.000     0.000
  0   150.745     0.016       3.5       0.7      52.6      15.9     1.000     0.000
  0   159.463     0.184       3.5       1.1      20.3      14.1     0.959     0.000
  2    80.513     0.040       8.4       1.9      22.8       2.7     0.997     0.000
  2    87.764     0.042      11.5       2.8      25.9       2.5     0.987     0.000
  2    96.188     0.046      19.1       2.1       4.7       4.2     1.000     0.000
  2   105.127     0.030      21.3       1.8       4.2       4.7     1.000     0.000
  2   113.837     0.033      24.3       1.5       2.5      25.9     1.000     0.000
  2   122.550     0.037      20.5       1.4       2.7      22.8     1.000     0.000
  2   131.495     0.069      15.7       2.1       6.9       6.9     1.000     0.000
  2   140.447     0.084      10.4       2.2      10.1      10.1     1.000     0.000
  2   149.682     0.045      11.2       0.7       0.8       0.8     1.000     0.000
  1   101.733     0.007      10.8       2.6     179.3     115.6     1.000     1.000
  1   101.854     0.016       9.0       2.1     118.5      74.9     0.779     1.000
  1   101.999     0.007       9.9       1.8     156.0      91.8     1.000     1.000
  1   110.795     0.006      24.0       2.4      68.0       8.2     1.000     1.000
  1   118.219     0.006       5.4       1.4     253.5     117.4     0.818     0.890
  1   119.529     0.009      25.1       1.8      67.0       4.0     1.000     1.000
  1   127.688     0.012      14.8       1.9      66.3       8.1     1.000     1.000
  1   128.953     0.010      11.1       1.5     110.9       8.3     1.000     1.000
  1   136.455     0.009      10.2       1.4      73.2       9.4     1.000     1.000
  1   137.695     0.009       7.3       2.1     191.6     101.1     1.000     1.000
  1   137.800     0.082       6.2       2.2     181.3      99.1     0.911     1.000
  1   145.751     0.011      11.2       1.2      63.6       3.6     1.000     1.000
  1   147.826     0.002       1.6       0.8       0.0       0.0     0.345     0.463
  1   149.285     0.006       4.8       1.2     307.9      95.4     0.998     0.851
