version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  7188156
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    13.888     0.127     2.137     0.007     2.125     0.004     0.310     0.010    14.404     0.009    0.0250    0.0038     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     8.393     0.054     117.7      30.8      47.3      24.7     0.991     0.000
  0    12.284     0.010     223.4      15.3      63.4      16.7     1.000     0.000
  0    14.457     0.021     228.4      16.1      25.2       8.8     1.000     0.000
  0    16.555     0.015     174.7      13.4      40.4      14.1     1.000     0.000
  0    18.766     0.032      86.9      15.4      36.6      19.8     1.000     0.000
  2    11.966     0.016     197.6      23.7      19.1      17.1     1.000     0.000
  2    14.123     0.008     228.9      16.8      17.1      19.1     1.000     0.000
  2    16.217     0.012     171.1      14.8      17.3      17.3     1.000     0.000
  2    18.467     0.043      86.9      16.7      23.8      23.8     1.000     0.000
  2    20.960     0.015      41.2       8.3      14.9      14.9     0.993     0.000
