version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6128903
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    75.188     0.198     7.343     0.006     7.350     0.004     0.997     0.008    74.621     0.006    0.0105    0.0009     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    45.870     0.086      22.4       5.7      33.6      21.6     0.997     0.000
  0    60.079     0.017      35.1       4.5      42.9      16.2     1.000     0.000
  0    67.305     0.011      64.2       3.1      37.0       7.6     1.000     0.000
  0    74.641     0.007      84.7       4.2      60.7      10.8     1.000     0.000
  0    81.974     0.010      70.2       3.5      36.5       7.2     1.000     0.000
  0    89.541     0.034      34.3       3.0      12.7       3.8     1.000     0.000
  0    97.209     0.056      19.5       2.6      14.0       7.1     1.000     0.000
  0   104.329     0.232       8.7       2.8      29.8      15.6     0.965     0.000
  2    59.080     0.021      28.7       4.4      20.0      12.7     1.000     0.000
  2    66.262     0.012      51.6       5.5      14.1      14.1     1.000     0.000
  2    73.651     0.008      80.1       5.9      12.7      20.0     1.000     0.000
  2    80.997     0.012      66.9       4.3       6.8       6.8     1.000     0.000
  2    88.537     0.039      35.9       2.9       2.9       2.9     1.000     0.000
  2    96.181     0.052      21.5       2.7       5.8       5.8     1.000     0.000
  1    46.754     0.006       7.3       4.8       0.0       0.0     0.212     0.498
  1    56.490     0.002       8.1       4.4       0.0       0.0     0.753     0.300
  1    56.709     0.007      32.4       7.7     283.7      88.0     1.000     0.981
  1    56.812     0.009      23.0       8.0     317.1      94.5     0.996     0.981
  1    63.408     0.018      17.1       5.8     302.4     118.2     0.930     1.000
  1    63.517     0.009      23.2       5.5     195.4     114.2     1.000     1.000
  1    63.643     0.004       8.4       4.8       0.0       0.0     0.870     0.727
  1    63.767     0.007      44.1       5.1      70.3      13.8     1.000     0.983
  1    63.972     0.009      19.0       5.6     243.5     119.7     1.000     0.956
  1    70.603     0.007      13.7       3.6     265.3     125.4     0.830     0.758
  1    70.650     0.005      10.9       3.2     324.8     120.1     0.389     0.758
  1    70.926     0.009      55.3       7.6      88.2      39.3     1.000     1.000
  1    71.045     0.007      34.7      10.2     265.3     126.3     1.000     1.000
  1    71.151     0.014      52.7       9.1      90.6      34.1     1.000     0.999
  1    71.275     0.004      41.7       8.7     310.8     106.9     1.000     0.999
  1    71.392     0.003      20.1       5.4     383.3      86.6     1.000     0.999
  1    71.464     0.001      15.9       4.7       0.0       0.0     1.000     0.714
  1    71.824     0.002       9.7       5.1       0.0       0.0     1.000     0.391
  1    72.146     0.002       6.2       4.5       0.0       0.0     0.691     0.388
  1    75.993     0.003      23.1       4.9     316.8     125.1     1.000     0.972
  1    76.318     0.002       7.5       4.7       0.0       0.0     0.960     0.533
  1    77.160     0.002       9.4       5.5       0.0       0.0     1.000     0.418
  1    77.579     0.007      21.4       3.4     137.4      50.0     1.000     1.000
  1    77.940     0.008      36.0       6.2     132.0      67.3     1.000     1.000
  1    78.047     0.012      19.6       6.1     276.5     123.0     0.999     1.000
  1    78.296     0.006      57.2      13.6     267.8     108.9     1.000     1.000
  1    78.344     0.010      54.0      12.7     157.8      74.3     1.000     1.000
  1    78.587     0.007      39.4       9.3     230.2     115.0     1.000     1.000
  1    78.641     0.036      22.6       9.6     202.1     121.6     0.994     1.000
  1    78.988     0.008      14.9       3.6     210.8     119.8     1.000     0.981
  1    79.364     0.003       5.3       3.6       0.0       0.0     0.593     0.384
  1    79.417     0.007      11.2       4.3     319.8     113.4     0.775     1.000
  1    79.500     0.027      14.2       4.7     252.2     103.1     0.828     1.000
  1    79.928     0.007      12.5       4.3     316.8      99.7     0.999     0.838
  1    84.759     0.009       9.3       3.6     303.4     109.5     0.755     0.739
  1    85.206     0.005      15.2       3.9     306.5     116.5     1.000     1.000
  1    85.251     0.013      15.1       3.9     280.9     113.5     0.999     1.000
  1    85.605     0.030      24.6       8.0     196.9     116.2     1.000     1.000
  1    85.672     0.010      29.3       6.9     172.8     110.6     1.000     1.000
  1    85.980     0.014      18.6       6.3     182.6     116.8     1.000     0.994
  1    86.018     0.058      14.8       7.6     210.5     122.6     0.993     0.994
  1    86.411     0.005      17.8       2.6     177.9      72.5     1.000     0.981
  1    93.075     0.056      10.9       4.1     203.1     117.8     0.297     1.000
  1    93.200     0.008      19.6       4.0      97.7      55.1     1.000     1.000
  1    93.445     0.028      12.6       3.6     253.1     123.4     0.939     1.000
  1    93.573     0.010      18.2       3.4      87.4      40.9     1.000     1.000
  1   100.655     0.001       4.9       3.5       0.0       0.0     0.389     0.616
  3    75.893     0.070      14.0       4.5     137.7     119.9     0.235     0.972
  3    98.667     0.013       6.3       2.6     247.4     126.0     0.271     0.489
