version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3645232
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
     8.289     0.080     1.430     0.012     1.383     0.004     0.244     0.009     8.100     0.006    0.0370    0.0074     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     6.760     0.007     257.7      29.8      84.2      13.0     1.000     0.000
  0     8.078     0.006     361.1      29.9      85.4      11.1     1.000     0.000
  0     9.527     0.009     302.0      26.8      67.5      16.5     1.000     0.000
  2     7.837     0.007     341.4      35.2      12.2      12.2     1.000     0.000
  2     9.290     0.012     310.5      24.1      17.6      17.6     1.000     0.000
  2    10.743     0.061     161.2      15.9       7.8       7.8     1.000     0.000
