version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5024750
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    13.260     0.173     1.827     0.010     1.796     0.006     0.257     0.011    13.963     0.010    0.0218    0.0053     3
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    10.466     0.011     128.6      13.2      69.3      17.3     1.000     0.000
  0    12.143     0.014     135.9      16.0      57.7      20.7     1.000     0.000
  0    13.993     0.012     161.2       6.8      41.1      12.0     1.000     0.000
  0    15.776     0.017     145.4       7.2      30.2       8.8     1.000     0.000
  0    19.668     0.015      28.8       5.8      51.1      16.4     0.940     0.000
  2     8.376     0.040     117.3      18.5      20.6      18.7     1.000     0.000
  2    11.887     0.012     143.9      13.3      18.8      18.8     1.000     0.000
  2    13.726     0.027     134.2      18.4      18.7      20.6     1.000     0.000
  2    15.543     0.027     128.7      14.8      16.4      16.4     1.000     0.000
  2    17.412     0.025      91.9       4.5       8.0       8.0     1.000     0.000
