version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5858034
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    38.688     0.238     4.476     0.016     4.361     0.013     0.705     0.026    35.142     0.022    0.0176    0.0041     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    22.586     0.022      25.3       5.0      68.1      21.5     0.951     0.000
  0    26.592     0.018      36.6       7.2      67.3      21.5     1.000     0.000
  0    30.952     0.044      59.4       9.6      20.3      11.8     1.000     0.000
  0    35.103     0.023      93.9       4.4      15.8       4.1     1.000     0.000
  0    39.582     0.019      88.8       5.5      22.9       7.0     1.000     0.000
  0    43.984     0.030      86.4       4.0      11.5       2.6     1.000     0.000
  0    48.463     0.027      54.8       4.1      16.3       4.1     1.000     0.000
  0    53.070     0.040      33.2       4.3      11.3       4.9     1.000     0.000
  2    30.323     0.055      70.2       8.5       5.2       2.6     1.000     0.000
  2    34.358     0.023      83.5       7.2       8.2       8.2     1.000     0.000
  2    38.933     0.045      86.1       6.4       2.6       5.2     1.000     0.000
  2    43.342     0.052      74.4       8.8       5.9       5.9     1.000     0.000
  2    47.698     0.023      50.7       4.8       7.9       7.9     1.000     0.000
  2    52.390     0.047      29.3       4.5      10.1      10.1     1.000     0.000
  2    56.988     0.077      14.8       3.4      14.6      14.6     0.994     0.000
  1    28.836     0.009      31.4      14.7     309.7     108.5     0.547     0.863
  1    29.728     0.007      10.0       7.1       0.0       0.0     0.665     0.422
  1    32.111     0.001      12.0       6.2       0.0       0.0     0.650     0.560
  1    32.409     0.010      25.7      11.5     329.1     103.0     0.995     0.779
  1    32.974     0.010      34.0      15.8     301.0     112.5     0.876     0.867
  1    33.217     0.014      27.3      12.1     220.7     121.3     0.648     1.000
  1    33.508     0.013      40.7      16.7     240.5     108.3     0.992     0.988
  1    35.651     0.005      16.4       8.2       0.0       0.0     1.000     0.635
  1    36.174     0.012      15.8       6.9     275.2     124.3     0.469     0.634
  1    36.460     0.005      22.7       5.2     323.6     100.7     0.988     0.837
  1    36.823     0.010      32.6      12.9     253.4     107.0     0.898     0.954
  1    37.180     0.012      26.5       6.5     277.4     115.3     0.677     0.966
  1    37.481     0.060      26.7      18.8     240.2     127.3     0.202     0.993
  1    37.504     0.010      51.0      17.2     184.8     105.7     1.000     0.993
  1    37.843     0.013      37.0      15.3     231.0     109.5     0.998     0.988
  1    38.228     0.004      43.5       6.9     269.2      92.4     1.000     0.955
  1    40.021     0.004      31.4       5.8     299.9     105.3     1.000     0.969
  1    40.992     0.005      22.4       5.3     310.6     103.2     0.989     0.915
  1    41.474     0.006      31.7       4.9     146.3      62.8     1.000     0.968
  1    41.838     0.045      39.9      17.7     170.7     109.3     1.000     1.000
  1    41.881     0.014      41.8      15.3     198.7     125.0     1.000     1.000
  1    42.249     0.008      45.3      15.6     265.9     104.3     1.000     0.948
  1    42.740     0.010      24.3       9.5     300.7      97.8     0.736     0.909
  1    45.554     0.026      24.3       5.8     306.9     109.0     0.946     0.910
  1    46.084     0.008      40.9       4.3     100.5      33.0     1.000     1.000
  1    46.517     0.016      35.5      10.3     150.0      90.7     1.000     0.999
  1    47.064     0.004      15.3       7.9       0.0       0.0     0.973     0.607
  1    47.159     0.012       8.2       5.3       0.0       0.0     0.731     0.607
  1    50.361     0.011      16.3       4.7     231.6     123.0     0.326     1.000
  1    50.443     0.007      26.2       4.7     182.8      90.2     1.000     1.000
  1    50.956     0.007      25.6       3.4      86.9      20.5     1.000     0.995
  1    51.550     0.012      19.6       7.3     252.3      99.9     0.843     0.973
