version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11245339
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    43.598     0.269     4.638     0.012     4.551     0.007     0.691     0.014    41.193     0.010    0.0210    0.0022     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    27.604     0.067      33.0       8.4      59.4      24.9     0.999     0.000
  0    32.318     0.031      48.8       7.4      36.7      16.9     1.000     0.000
  0    36.622     0.024      71.3       5.2      21.0       6.7     1.000     0.000
  0    41.200     0.009      92.6       5.0      49.8      13.1     1.000     0.000
  0    45.817     0.019      80.4       5.5      22.8       6.6     1.000     0.000
  0    50.457     0.034      59.8       4.5      14.1       3.9     1.000     0.000
  0    55.191     0.085      49.4       4.7       5.6       2.2     1.000     0.000
  0    59.973     0.054      18.3       4.0      35.2      17.3     1.000     0.000
  2    31.618     0.025      43.5       8.0      23.7       5.0     0.999     0.000
  2    35.968     0.023      51.7       7.5      17.4       7.3     1.000     0.000
  2    40.474     0.021      80.7       7.1       7.3      17.4     1.000     0.000
  2    45.139     0.020      83.7       4.4       5.0      23.7     1.000     0.000
  2    49.720     0.067      52.8       6.3       4.3       4.3     1.000     0.000
  2    54.374     0.102      51.1       3.9       1.6       1.6     1.000     0.000
  1    34.886     0.013      28.6      13.8     306.9     109.1     0.566     0.821
  1    38.520     0.007      28.3       4.7     214.1     101.7     0.994     0.875
  1    38.873     0.017      51.5      18.1     192.5     111.2     1.000     0.993
  1    39.180     0.017      33.6      13.7     197.7     112.6     0.951     0.988
  1    39.528     0.004      31.0      10.5       0.0       0.0     1.000     0.688
  1    39.559     0.003      18.3      10.6       0.0       0.0     0.649     0.688
  1    41.746     0.015      18.2       7.6     256.5     126.3     0.722     0.745
  1    42.263     0.007      11.5       7.2       0.0       0.0     0.339     0.652
  1    42.753     0.014      46.8      20.4     265.1     105.7     0.999     0.954
  1    43.188     0.011      47.1      18.2     219.5     108.6     1.000     0.961
  1    43.627     0.004      81.4      11.6     170.8      62.1     1.000     0.981
  1    44.002     0.014      47.0      18.2     232.7     103.9     1.000     0.976
  1    44.020     0.093      30.4      21.3     268.1     112.5     0.261     0.976
  1    47.346     0.016      23.2       7.2     320.4     102.8     0.972     0.864
  1    47.807     0.032      27.1       9.6     162.5     103.0     0.572     1.000
  1    47.897     0.013      44.6       8.3      95.3      37.5     1.000     1.000
  1    48.292     0.007      41.6       7.8     168.8      91.4     1.000     1.000
  1    48.374     0.013      21.8       6.7     276.7     121.2     0.535     1.000
  1    48.839     0.005      43.9       8.8     281.6     104.6     1.000     0.970
  1    49.229     0.004      12.3       3.2     357.9      95.5     0.832     0.649
  1    52.206     0.009      15.9       4.5     262.0     109.7     0.305     0.971
  1    52.281     0.009      19.1       4.6     255.4     108.6     0.925     0.971
  1    52.720     0.011      22.7       5.9     203.0     125.2     0.980     1.000
  1    52.803     0.009      31.0       5.7     141.9      98.5     1.000     1.000
  1    53.309     0.016      21.1       6.5     251.9     108.9     0.905     0.959
  1    53.423     0.010      16.1       5.6     289.3     113.1     0.444     0.959
  1    56.465     0.002       8.1       4.2       0.0       0.0     0.666     0.525
  1    57.234     0.010      29.9       7.9     197.8     106.1     1.000     1.000
  1    57.303     0.070      16.3       7.9     263.1     120.7     0.408     1.000
  1    57.812     0.013      29.2       5.5      98.6      34.2     1.000     1.000
  1    57.903     0.012      23.8       6.4     218.4     118.6     0.994     1.000
  3    46.570     0.066      18.8       7.2     220.3     136.2     0.379     1.000
  3    46.756     0.011      28.8       7.5     182.5     121.8     1.000     1.000
