version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3323401
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    31.374     0.215     4.057     0.016     3.976     0.011     0.636     0.018    31.519     0.013    0.0202    0.0035     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    23.794     0.047      93.1      12.0      18.4      12.0     1.000     0.000
  0    27.470     0.027     119.0      11.2      22.1       8.9     1.000     0.000
  0    31.543     0.012     143.6       5.7      33.1       7.2     1.000     0.000
  0    35.531     0.036     122.8       8.6      13.1       4.0     1.000     0.000
  0    39.662     0.044      74.5       8.5      15.8       8.6     1.000     0.000
  0    43.795     0.024      40.5       6.0      27.6      13.3     1.000     0.000
  2    26.858     0.039     119.5      11.8       7.0      11.7     1.000     0.000
  2    30.899     0.018     120.4      11.6      11.7       7.0     1.000     0.000
  2    34.931     0.048     126.1       7.6       2.7       2.7     1.000     0.000
  2    38.983     0.046      74.0       9.0       8.4       8.4     1.000     0.000
  2    43.281     0.023      30.8       5.7      15.0      15.0     0.986     0.000
  2    47.267     0.058      22.6       5.2      17.4      17.4     0.999     0.000
  1    25.843     0.015      74.5      29.1     239.6     118.2     0.987     0.977
  1    26.005     0.020      40.5      15.2     301.0     114.0     0.592     0.846
  1    26.085     0.008      41.8      14.2     296.9     113.1     0.874     0.846
  1    26.330     0.020      30.9       9.6     284.0     104.9     0.429     0.931
  1    26.365     0.012      31.8       9.5     290.9     109.0     0.588     0.931
  1    29.019     0.002      23.1      12.9       0.0       0.0     0.776     0.674
  1    29.254     0.012      44.9      20.3     266.1     116.6     0.582     0.904
  1    29.473     0.012      46.4      21.7     297.4     112.0     0.654     0.888
  1    29.691     0.013      69.8      27.1     190.6     115.1     1.000     1.000
  1    29.891     0.018      57.8      22.6     221.6     111.3     0.983     0.989
  1    30.585     0.011      28.4      12.8     329.3      94.8     0.721     0.884
  1    32.675     0.009      45.0      12.9     261.7     114.2     1.000     0.946
  1    33.285     0.004      26.1       6.5     331.0     106.4     0.674     0.777
  1    33.537     0.013      47.8      22.1     264.4     115.3     0.851     0.940
  1    33.805     0.012      69.3      31.8     275.2     111.2     1.000     0.946
  1    34.068     0.047      35.6      19.7     272.8     110.1     0.423     0.977
  1    34.108     0.012      50.0      18.5     255.7     103.5     1.000     0.977
  1    36.922     0.014      28.8      12.7     306.0     107.9     0.721     0.832
  1    37.274     0.015      46.0      19.2     240.5     112.9     0.940     0.965
  1    37.555     0.018      59.4      21.4     184.6     117.3     1.000     0.998
  1    37.573     0.051      42.5      24.4     217.0     129.1     0.886     0.998
  1    37.664     0.014      16.6       8.2     285.0     125.9     0.293     0.487
  1    37.824     0.013      31.9      10.7     223.7     223.7     0.949     0.823
  1    38.282     0.090      21.8      10.8     288.1     104.2     0.274     0.798
  1    38.375     0.013      23.2       9.8     291.3     105.2     0.857     0.798
  1    41.484     0.013      31.4       5.7     102.4      42.6     0.975     1.000
  3    24.430     0.004      20.5      12.4       0.0       0.0     0.706     0.681
