version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  7430104
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    99.590     0.489     8.061     0.019     8.095     0.010     0.969     0.021   105.992     0.015    0.0016    0.0012     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    74.179     0.010      21.7       1.8      41.5      10.1     1.000     0.000
  0    81.875     0.020      25.6       2.3      24.7       8.1     1.000     0.000
  0    89.795     0.017      27.3       2.3      28.4       8.0     1.000     0.000
  0    97.960     0.015      33.2       1.9      25.5       5.9     1.000     0.000
  0   105.945     0.023      34.2       1.0      12.6       2.2     1.000     0.000
  0   114.053     0.056      24.9       2.3       7.3       2.1     1.000     0.000
  0   122.333     0.066      17.6       2.2       9.3       3.7     1.000     0.000
  0   130.702     0.228       8.4       5.2      24.9      22.4     1.000     0.000
  2    64.948     0.032       9.3       2.2      19.2       9.2     0.972     0.000
  2    80.774     0.057      21.3       2.9       6.0       3.2     1.000     0.000
  2    88.757     0.075      27.7       2.4       2.0       2.0     1.000     0.000
  2    96.932     0.032      27.6       2.1       3.2       6.0     1.000     0.000
  2   105.008     0.016      27.5       2.5       9.2      19.2     1.000     0.000
  2   113.231     0.056      22.2       2.6       3.6       3.6     1.000     0.000
  2   121.335     0.097      15.6       2.5       4.9       4.9     1.000     0.000
  2   129.842     0.190      14.4       4.9      13.7      13.7     1.000     0.000
  1    77.662     0.005       9.9       1.8     244.8     111.1     0.998     0.932
  1    78.460     0.011      18.6       6.1     184.1     113.7     1.000     0.988
  1    79.482     0.008      11.1       4.2     318.1      99.8     0.909     0.848
  1    83.653     0.003       4.9       2.1       0.0       0.0     0.806     0.738
  1    85.040     0.007      16.2       5.6     272.4     108.6     1.000     0.969
  1    85.966     0.071      12.8       9.4     202.7     129.1     0.753     1.000
  1    85.993     0.012      24.3       8.3     127.5      95.9     1.000     1.000
  1    87.115     0.087       7.5       4.6     275.6     108.8     0.304     0.975
  1    87.139     0.012      11.1       4.6     257.6     107.7     0.859     0.975
  1    92.099     0.001       4.0       1.8       0.0       0.0     0.982     0.672
  1    93.523     0.040      14.6       7.1     261.1     135.6     0.993     1.000
  1    93.590     0.012      25.1       6.3     110.2      67.3     1.000     1.000
  1    94.591     0.006      29.5       2.4      98.3      10.9     1.000     1.000
  1    95.722     0.005       3.3       2.1       0.0       0.0     0.285     0.467
  1    96.225     0.004      11.4       1.9     258.2      91.7     1.000     0.931
  1    98.192     0.002       5.2       2.8       0.0       0.0     1.000     0.494
  1   100.177     0.008       9.1       1.3     113.3      56.7     0.995     0.990
  1   101.755     0.025      26.6       6.7      79.2      42.4     1.000     1.000
  1   101.868     0.013      23.1       6.7     134.6     110.6     1.000     1.000
  1   102.998     0.010      21.4       6.7     196.7      91.2     1.000     0.998
  1   109.364     0.014      12.2       2.9     138.4      82.0     0.974     1.000
  1   109.520     0.008      22.2       3.3     101.2      33.9     1.000     1.000
  1   110.731     0.009      23.6       3.5     113.1      32.7     1.000     1.000
  1   110.921     0.022      13.0       3.4     149.2      79.0     0.997     1.000
  1   112.884     0.005       7.5       1.8     312.4      93.5     0.977     0.856
  1   115.520     0.003       7.4       1.4     369.6      88.2     0.999     0.796
  1   117.823     0.013      23.6       2.6      72.0       6.3     1.000     1.000
  1   118.976     0.007      13.1       2.5     163.3      75.4     1.000     1.000
  1   119.084     0.010       6.6       2.0     276.5     115.2     0.270     1.000
  1   119.564     0.005       7.2       1.9     334.7      98.0     1.000     0.758
  1   121.954     0.001       2.6       0.8       0.0       0.0     0.987     0.466
  1   124.692     0.002       2.4       1.4       0.0       0.0     0.518     0.321
  1   124.922     0.020       7.1       2.0     170.8     170.8     0.948     0.979
  1   126.688     0.014      13.3       2.0      68.8      12.9     1.000     1.000
  3   107.385     0.001       5.2       2.4       0.0       0.0     1.000     0.114
