version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10808345
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    30.242     0.202     3.948     0.009     3.923     0.005     0.629     0.011    30.743     0.010    0.0239    0.0020     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     8.381     0.017     112.6      22.0      71.8      18.1     1.000     0.000
  0    19.419     0.019      67.2      12.8      62.1      20.8     1.000     0.000
  0    22.866     0.021      83.6      14.1      55.0      23.0     1.000     0.000
  0    26.821     0.025     119.3      14.0      29.3      16.1     1.000     0.000
  0    30.821     0.122     138.2      11.3       4.5       1.7     1.000     0.000
  0    34.756     0.025     101.6      10.7      22.9       9.8     1.000     0.000
  0    38.793     0.040      79.7       7.2      12.9       4.2     1.000     0.000
  0    42.781     0.096      39.1       8.5      15.6      12.8     0.964     0.000
  0    47.612     0.076      28.6       7.6      29.3      17.4     1.000     0.000
  2    22.493     0.043      63.8      15.0      25.9       1.6     1.000     0.000
  2    26.191     0.033     140.4       7.5       3.9       3.9     1.000     0.000
  2    29.965     0.068     146.5       5.0       1.6      25.9     1.000     0.000
  2    33.975     0.065     122.9       5.8       1.6       1.6     1.000     0.000
  2    37.850     0.125      84.0       6.8       1.7       1.7     1.000     0.000
  2    41.971     0.041      41.0       8.0      18.5      18.5     1.000     0.000
  1    18.036     0.014      37.3      19.7     344.9      90.2     0.201     0.870
  1    21.464     0.021      44.7      19.4     239.9     121.2     0.723     0.999
  1    25.237     0.015      82.7      34.0     222.5     105.8     0.998     0.985
  1    25.422     0.011      64.3      25.0     284.8     106.9     1.000     0.899
  1    28.101     0.013      32.0      15.6     310.0     102.3     0.269     0.867
  1    28.499     0.015      30.3       8.7     285.9     116.1     0.241     0.928
  1    28.528     0.009      40.3       9.2     274.0     122.7     0.970     0.928
  1    28.726     0.065      37.7      22.2     205.3     127.0     0.394     0.997
  1    28.744     0.017      59.1      21.1     143.0     104.7     0.995     0.997
  1    28.991     0.014      60.2      25.2     214.5     119.4     0.945     1.000
  1    29.685     0.016      37.5      16.4     278.9      99.5     0.435     0.925
  1    30.114     0.012      36.6      16.4     319.4      95.5     0.983     0.842
  1    30.302     0.012      25.4       8.8     312.9     312.9     0.680     0.667
  1    32.721     0.005      48.8      10.3     270.7     104.6     1.000     0.947
  1    32.966     0.018      69.8      30.2     233.8     108.5     1.000     0.971
  1    33.248     0.013      43.2      16.1     243.1     110.6     0.991     0.967
  1    33.538     0.004      55.7       8.1     225.7      78.7     1.000     0.956
  1    36.647     0.019      37.1      15.4     183.5     117.5     0.932     1.000
  1    36.719     0.032      41.6      14.6     181.0     117.3     0.999     1.000
  1    37.025     0.014      50.5      19.3     189.9     111.0     1.000     0.992
  1    40.030     0.011      29.9      13.1     306.8      98.8     0.866     0.881
  1    43.019     0.002       7.6       3.2       0.0       0.0     0.538     0.409
  1    47.258     0.003       6.9       3.1       0.0       0.0     0.526     0.375
  3    27.571     0.013      30.1      14.4     279.1     120.8     0.400     0.750
