version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10603958
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    28.902     0.295     3.890     0.017     3.835     0.017     0.439     0.020    29.938     0.018    0.0129    0.0074     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    18.767     0.054      54.2      13.1      55.1      25.8     0.997     0.000
  0    22.520     0.026      91.0       5.3      16.2       4.5     1.000     0.000
  0    26.046     0.027     104.1       8.8      23.1       9.6     1.000     0.000
  0    30.009     0.015     104.5       6.3      39.2      13.0     1.000     0.000
  0    33.785     0.025      84.6       7.2      25.0       9.9     1.000     0.000
  0    37.682     0.036      50.4       6.5       8.5       6.2     1.000     0.000
  2    25.575     0.088     100.4      11.1       3.9       9.8     1.000     0.000
  2    29.588     0.043      87.8      11.6       9.8       3.9     1.000     0.000
  2    33.321     0.121      85.6       7.4       2.7       2.7     1.000     0.000
  2    41.433     0.117      29.5       7.8      14.7      14.7     0.987     0.000
  2    49.691     0.049      17.7       3.9      10.7      10.7     0.997     0.000
  1    21.245     0.013      25.3      13.5     305.6     111.0     0.503     0.672
  1    24.274     0.009      33.2       9.3     263.3     123.8     0.362     0.830
  1    24.326     0.003      40.1       9.7     321.8     127.6     0.995     0.830
  1    24.701     0.012      45.7      20.2     259.9     111.9     0.812     0.964
  1    27.730     0.006      18.4      11.6       0.0       0.0     0.201     0.543
  1    27.881     0.008      26.4       9.9     316.3     118.5     0.361     0.831
  1    27.968     0.020      35.9      12.2     237.2     119.8     0.466     0.831
  1    28.102     0.028      33.6      13.2     247.0     127.2     0.860     1.000
  1    28.162     0.013      32.0      13.2     258.7     126.3     0.736     1.000
  1    28.326     0.004      59.0      11.3     271.8     112.4     1.000     0.942
  1    28.526     0.001      18.9       5.0       0.0       0.0     1.000     0.664
  1    28.977     0.007      37.4      10.0     304.9      99.7     0.976     0.895
  1    29.422     0.006      17.6      11.1       0.0       0.0     0.999     0.519
  1    31.040     0.002      10.4       6.3       0.0       0.0     0.537     0.215
  1    31.619     0.011      35.3      11.2     248.3     124.6     0.918     1.000
  1    31.675     0.007      39.4      10.8     269.1     122.6     0.999     1.000
  1    31.881     0.012      23.2      10.0     251.9     126.2     0.277     0.798
  1    32.015     0.010      40.9      12.8     207.5     115.2     0.943     1.000
  1    32.137     0.008      48.6      11.7     191.4     115.8     1.000     1.000
  1    32.606     0.013      31.1      10.2     280.7     280.7     0.953     0.851
  1    32.774     0.009      31.5      11.5     293.7      99.7     0.971     0.949
  1    35.182     0.005      20.9       6.0     333.8     105.6     0.411     0.873
  1    35.943     0.010      21.0       7.9     266.4     118.3     0.848     0.822
  3    34.437     0.005      11.1       7.7       0.0       0.0     0.558     0.338
