version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  4543229
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    25.407     0.164     3.189     0.011     3.168     0.008     0.461     0.011    25.174     0.007    0.0112    0.0049     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    19.032     0.012      87.2      13.2      69.4      18.7     1.000     0.000
  0    21.987     0.008     119.1      11.5      79.4      14.1     1.000     0.000
  0    25.195     0.006     203.3       8.1      70.1      13.2     1.000     0.000
  0    28.302     0.015     127.1       6.9      32.9       9.0     1.000     0.000
  0    31.644     0.068      78.7      10.7      12.0       6.4     1.000     0.000
  0    34.917     0.027      33.2       6.7      53.6      19.5     1.000     0.000
  2    21.500     0.024     108.7      13.9      16.4       9.9     1.000     0.000
  2    24.725     0.010     160.2      18.0      17.1      17.1     1.000     0.000
  2    27.873     0.018     123.9       8.5       9.9      16.4     1.000     0.000
  2    31.192     0.029      87.1       6.9       7.3       7.3     1.000     0.000
