version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  8505072
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   104.445     0.226    10.920     0.011     9.830     0.002     1.671     0.086   111.957     0.023    0.0287    0.0016     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    69.433     0.024      12.1       2.7      64.5      23.4     0.999     0.000
  0    78.832     0.041      18.7       2.7      25.5      12.4     1.000     0.000
  0   101.360     0.010      25.7       2.5      55.7      15.8     1.000     0.000
  0   111.983     0.078      42.7       2.3       2.9       0.6     1.000     0.000
  0   122.337     0.013      16.2       2.0      51.2      15.5     1.000     0.000
  0   134.838     0.088      17.0       1.7       6.0       2.4     1.000     0.000
  0   144.860     0.208       9.2       2.3       7.1       9.6     0.990     0.000
  2    77.495     0.018      16.2       2.8      21.0       0.2     0.997     0.000
  2    87.961     0.012      41.7       2.4       7.1       7.1     1.000     0.000
  2   108.847     0.018      22.3       3.0      14.7      14.7     1.000     0.000
  2   121.595     0.014      26.9       2.3       8.0       8.0     1.000     0.000
  2   131.399     0.024      15.3       1.8      10.4      10.4     1.000     0.000
  1    74.166     0.014      12.0       4.4     233.2     124.5     0.832     0.968
  1    74.211     0.050      10.4       5.0     242.4     124.4     0.515     0.968
  1    74.844     0.004       9.8       2.1     308.2     114.9     0.844     0.862
  1    81.741     0.010       8.1       3.3     332.5      89.4     0.676     0.673
  1    83.124     0.006      15.9       2.9     261.0      74.9     1.000     0.974
  1    83.361     0.008      19.3       4.4     263.0      77.5     0.997     0.997
  1    83.472     0.005      13.2       4.1     337.1      94.1     0.366     0.997
  1    83.529     0.008      17.4       4.8     287.0      89.2     0.849     0.997
  1    83.867     0.005      13.3       3.3     319.6      93.4     1.000     0.966
  1    91.496     0.046       8.9       3.2     279.1     108.9     0.233     0.964
  1    91.628     0.006      12.0       3.2     310.6     105.3     1.000     0.964
  1    92.079     0.011      12.7       3.7     265.2     101.1     0.982     0.949
  1    92.216     0.005      11.5       3.1     336.2     100.4     1.000     0.949
  1    92.260     0.003      11.0       3.7     346.5      99.4     0.259     0.999
  1    92.632     0.005      40.4       7.0     249.7      90.2     1.000     0.999
  1    92.734     0.007      26.6       5.9     266.2      95.6     1.000     0.999
  1    93.098     0.011      26.3       6.1     249.5      87.7     1.000     1.000
  1    93.185     0.007      26.8       5.9     266.4      93.2     1.000     1.000
  1    93.563     0.002       4.2       2.5       0.0       0.0     0.287     0.349
  1    93.588     0.027      11.1       2.9     370.6      85.3     0.996     0.899
  1    93.714     0.005      25.8       4.7     261.5      82.6     1.000     0.899
  1    94.224     0.002       6.1       3.2       0.0       0.0     0.880     0.602
  1    96.096     0.017      25.1       7.7     272.0      85.2     0.977     1.000
  1    96.200     0.007      49.2       8.7     236.7      65.4     1.000     1.000
  1    96.308     0.007      31.1       8.0     275.6      84.3     1.000     1.000
  1    97.505     0.009      56.0       5.5     198.9      24.5     1.000     1.000
  1    97.600     0.026      32.7      11.3     249.1      73.0     0.776     1.000
  1    99.192     0.008       9.9       2.3     261.6      76.2     0.304     0.994
  1    99.317     0.005      15.5       2.5     236.3      61.5     1.000     0.994
  1   100.658     0.006      12.9       2.2     242.0      63.9     1.000     0.981
  1   101.971     0.006      30.9       4.9     245.2      74.2     1.000     1.000
  1   102.049     0.005      18.5       4.5     317.3      93.5     1.000     1.000
  1   102.099     0.004      12.3       4.0     287.3     126.6     0.935     1.000
  1   102.554     0.006      59.8       7.9     106.9      34.9     1.000     1.000
  1   103.085     0.021      16.4       4.5     209.4     116.2     0.932     1.000
  1   103.825     0.047      13.4       4.1     201.0     120.3     0.999     1.000
  1   103.904     0.008      19.6       4.4     209.6     115.0     1.000     1.000
  1   104.689     0.012      15.2       4.5     212.8      87.3     1.000     0.997
  1   105.204     0.003       3.0       1.4       0.0       0.0     0.679     0.409
  1   105.731     0.007      76.6       4.6      95.6       8.3     1.000     1.000
  1   106.990     0.005      70.4       4.3      69.4       8.5     1.000     1.000
  1   108.809     0.017      10.3       3.1     284.0     101.3     0.996     0.815
  1   108.884     0.006       8.3       3.1     327.5     105.2     0.879     0.815
  1   109.778     0.003       3.9       2.1       0.0       0.0     0.660     0.722
  1   109.847     0.005       5.4       2.3       0.0       0.0     0.439     0.722
  1   110.619     0.002       6.2       2.4       0.0       0.0     0.999     0.738
  1   110.663     0.001      11.5       2.8       0.0       0.0     1.000     0.738
  1   111.442     0.006      12.8       3.2     322.7      93.0     1.000     0.851
  1   111.524     0.004      20.7       3.6     347.0      89.3     1.000     0.851
  1   112.094     0.005      18.4       3.8     320.7      92.6     1.000     0.827
  1   112.144     0.004      11.4       3.4     365.9      88.8     1.000     0.827
  1   112.800     0.006      11.3       2.9     306.1     112.2     1.000     0.963
  1   112.837     0.012      11.9       3.4     213.4      91.5     1.000     0.963
  1   115.254     0.063      18.5       4.5     207.8      84.2     1.000     1.000
  1   115.461     0.013      43.4       4.3     136.4      16.9     1.000     1.000
  1   115.799     0.006       6.9       2.1     300.1     112.0     1.000     0.915
  1   116.602     0.008      57.6       2.6      70.6       2.9     1.000     1.000
  1   117.717     0.013       6.0       2.5     241.7     121.6     0.564     0.855
  1   118.412     0.028       8.5       2.6     197.9      92.8     0.542     1.000
  1   118.621     0.008       8.9       2.5     234.6     110.0     0.993     1.000
  1   120.751     0.009       7.8       3.3     324.0      98.1     0.341     0.947
  1   120.814     0.035      14.8       4.1     264.6      90.7     1.000     0.947
  1   124.442     0.004       5.6       1.5     340.7     110.9     0.624     1.000
  1   124.549     0.017       7.3       1.5     121.6      71.4     0.487     1.000
  1   126.339     0.014      24.8       2.8      54.1       4.0     1.000     1.000
  1   128.048     0.009       7.9       1.3     118.5      47.0     1.000     0.994
  1   131.382     0.008       6.8       2.4     297.6      98.4     0.747     0.937
  1   132.210     0.013       9.0       3.2     268.2      90.5     0.975     0.978
  3    86.634     0.013      28.2       4.3      59.5      22.9     1.000     1.000
  3   103.156     0.007      27.8       3.8     106.3      45.6     1.000     1.000
  3   113.723     0.028       8.3       2.5     190.0     190.0     0.967     0.985
  3   125.183     0.008      23.1       2.9      55.0       8.4     1.000     1.000
  3   136.301     0.010       7.7       1.8     161.8     110.8     1.000     1.000
