version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11401466
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    35.051     0.214     4.156     0.008     4.075     0.010     0.640     0.017    32.656     0.012    0.0183    0.0036     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    24.768     0.030      54.7       9.1      40.6      20.3     1.000     0.000
  0    28.590     0.020      83.0       8.3      32.4      13.3     1.000     0.000
  0    32.645     0.012     111.5       5.2      35.0       8.9     1.000     0.000
  0    36.808     0.017     107.0       4.4      22.3       5.1     1.000     0.000
  0    40.949     0.022      70.1       8.8      33.9      19.5     1.000     0.000
  0    45.275     0.024      41.5       6.3      33.7      17.3     1.000     0.000
  2    12.267     0.088      44.3      14.8      23.3       5.4     0.979     0.000
  2    27.969     0.078      71.9      11.5       7.3       9.7     1.000     0.000
  2    31.974     0.018      95.6       8.8       9.7       7.3     1.000     0.000
  2    36.212     0.023      97.8       7.4       5.4      23.3     1.000     0.000
  2    40.313     0.049      84.6       4.5       2.6       2.6     1.000     0.000
  2    44.570     0.079      48.0       6.1       5.6       5.6     1.000     0.000
  2    48.946     0.020      17.2       3.2      18.5      18.5     0.947     0.000
  1    26.673     0.012      41.4      10.5     228.8     228.8     0.999     0.768
  1    26.999     0.012      30.7      13.3     271.8     116.9     0.449     0.916
  1    30.578     0.008      62.8      15.8     205.1     108.7     1.000     0.989
  1    30.734     0.013      29.1      12.6     255.8     120.7     0.598     0.910
  1    30.950     0.013      34.4      14.3     235.2     114.8     0.823     0.955
  1    31.392     0.005      19.7      10.4       0.0       0.0     1.000     0.592
  1    34.061     0.004      27.0       6.7     345.4      97.4     0.995     0.814
  1    34.312     0.010      28.4      11.8     306.2     109.5     0.289     0.855
  1    34.829     0.005      68.9       9.4     216.2      79.8     1.000     1.000
  1    35.106     0.010      51.8      20.3     264.2     106.3     0.998     0.942
  1    35.382     0.013      24.0       8.6     295.1     295.1     0.820     0.686
  1    35.697     0.004      18.3       4.1     344.7      94.6     0.614     0.690
  1    38.412     0.009      26.7      10.7     285.2     108.4     0.667     0.902
  1    38.737     0.006      76.8       6.5      80.6      15.0     1.000     1.000
  1    39.060     0.011      47.6      18.4     221.2     115.9     1.000     0.993
  1    39.077     0.053      33.0      20.2     239.8     123.5     0.743     0.993
  1    39.350     0.006      45.3       7.4     172.3      70.3     1.000     0.990
  1    39.735     0.003      20.2       4.2     345.6      99.0     0.936     0.777
  1    42.189     0.010      19.5       6.8     254.6     122.2     0.704     0.846
  1    42.668     0.002      12.8       7.6       0.0       0.0     0.961     0.331
  1    42.702     0.002      10.7       7.0       0.0       0.0     0.283     0.331
  1    43.000     0.011      38.7       4.7      66.6       9.9     1.000     0.999
  1    43.397     0.011      36.0      13.9     193.9     108.4     1.000     0.992
  1    43.764     0.004      11.6       6.2       0.0       0.0     0.952     0.679
