version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6629205
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    36.804     0.231     3.968     0.014     3.930     0.007     0.530     0.016    38.619     0.012    0.0041    0.0023     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    19.820     0.072      29.0      10.0      64.0      23.7     0.976     0.000
  0    27.197     0.020      64.6       6.0      31.8      13.1     1.000     0.000
  0    30.809     0.016      70.3       5.9      36.3      12.2     1.000     0.000
  0    34.688     0.014      83.5       4.5      32.5       9.1     1.000     0.000
  0    38.630     0.016      83.8       3.8      24.6       7.1     1.000     0.000
  0    42.549     0.036      66.5       4.4      12.7       3.6     1.000     0.000
  0    46.524     0.052      48.7       4.9      10.3       3.7     1.000     0.000
  0    51.063     0.245      12.4       7.6      31.2      23.3     1.000     0.000
  2    22.771     0.013      41.1       7.6      19.3       6.8     1.000     0.000
  2    30.271     0.020      61.6       7.4      17.1      15.3     1.000     0.000
  2    34.115     0.012      76.8       7.0      15.3      17.1     1.000     0.000
  2    38.164     0.039      74.6       7.8       6.8      19.3     1.000     0.000
  2    42.067     0.033      62.2       5.9       6.2       6.2     1.000     0.000
  2    46.012     0.088      49.4       4.7       3.1       3.1     1.000     0.000
  2    50.318     0.121      32.4       3.6       3.5       3.5     1.000     0.000
  1    25.559     0.006      13.2       8.0       0.0       0.0     0.257     0.643
  1    29.064     0.006      30.1       5.6     236.3     111.3     0.991     0.930
  1    29.225     0.008      51.8       7.0     106.8      29.9     1.000     1.000
  1    29.529     0.011      21.3       9.5     281.2     109.0     0.870     0.788
  1    32.705     0.010      64.7       9.1      79.7      26.2     1.000     1.000
  1    32.833     0.011      34.1      11.3     231.0     131.4     0.451     1.000
  1    32.921     0.011      35.6      13.8     203.4     115.0     0.984     1.000
  1    33.065     0.009      25.5       9.8     255.3     114.3     0.322     0.923
  1    33.287     0.002      15.9       8.5       0.0       0.0     0.963     0.590
  1    33.490     0.009      30.8      12.4     288.4     104.0     0.977     0.950
  1    36.292     0.009      21.7       8.7     295.6     113.8     0.988     0.779
  1    36.542     0.003      25.6      10.3       0.0       0.0     1.000     0.605
  1    36.684     0.024      27.0       9.5     183.1     118.3     0.342     0.980
  1    36.755     0.004      63.1      11.3     264.2     100.1     1.000     0.980
  1    36.992     0.004      74.4       9.5     146.0      48.2     1.000     0.996
  1    37.227     0.002      20.3       9.8       0.0       0.0     1.000     0.494
  1    37.778     0.009      25.3      10.1     312.3      95.2     0.793     0.974
  1    39.281     0.008      14.2       5.2     311.6     117.9     0.385     0.638
  1    39.678     0.002       8.6       4.5       0.0       0.0     0.272     0.344
  1    39.959     0.006      12.6       6.5       0.0       0.0     0.257     0.676
  1    40.290     0.005      25.9       5.8     275.7     111.0     1.000     0.930
  1    40.449     0.003       7.8       5.3       0.0       0.0     0.535     0.403
  1    40.530     0.013      44.3      15.4     119.4      94.5     1.000     1.000
  1    40.675     0.021      29.6       8.9     181.9     114.3     0.530     1.000
  1    40.834     0.008      65.9       8.9     104.3      35.4     1.000     1.000
  1    41.114     0.005      31.0       4.6     188.8      66.7     1.000     0.981
  1    41.639     0.002       9.7       4.8       0.0       0.0     0.886     0.701
  1    44.134     0.008      18.4       7.0     318.7     105.0     0.895     0.842
  1    44.287     0.014      26.9       7.3     160.2     107.2     0.641     1.000
  1    44.462     0.005      51.4       6.7      77.3      23.3     1.000     1.000
  1    44.772     0.006      30.0       3.0      92.2      19.5     1.000     0.995
  1    45.079     0.012      23.6       9.1     255.4     112.4     0.983     0.861
  1    48.361     0.009      16.2       4.6     246.0     119.2     0.686     1.000
  1    48.493     0.008      24.3       5.4     163.3      90.5     1.000     1.000
  1    48.874     0.013      23.9       6.6     168.2     102.9     1.000     0.985
  1    48.901     0.094      12.7       7.5     265.7     131.0     0.203     0.985
