version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3952315
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    23.037     0.159     3.128     0.009     3.062     0.007     0.500     0.014    21.667     0.011    0.0206    0.0033     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    15.660     0.103      37.5      16.0      64.7      24.5     0.908     0.000
  0    18.643     0.008     113.4       7.1      64.3      15.6     1.000     0.000
  0    21.648     0.021     125.3      12.4      29.5      12.0     1.000     0.000
  0    24.787     0.020     113.2       8.0      26.9       8.7     1.000     0.000
  0    27.886     0.029      66.0       9.2      34.3      15.2     1.000     0.000
  0    31.307     0.042      30.8       7.2      46.5      20.5     0.930     0.000
  2    21.136     0.012     140.4       8.1      12.8      14.2     1.000     0.000
  2    24.315     0.018     108.3       9.9      14.2      12.8     1.000     0.000
  2    27.419     0.020      78.3       7.7      13.3      13.3     1.000     0.000
