version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11621486
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    36.337     0.203     4.049     0.007     4.026     0.005     0.571     0.012    36.308     0.009    0.0153    0.0020     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    17.176     0.135      24.7      11.8      59.1      26.3     0.942     0.000
  0    24.536     0.048      30.0       8.2      64.2      22.3     0.993     0.000
  0    28.393     0.040      65.6       7.7      17.9       9.7     1.000     0.000
  0    32.250     0.011      81.8       7.1      53.2      15.2     1.000     0.000
  0    36.344     0.010     102.6       4.5      43.0       9.7     1.000     0.000
  0    40.353     0.011      85.9       6.5      44.2      12.1     1.000     0.000
  0    44.504     0.028      48.2       5.2      22.8       8.9     1.000     0.000
  0    48.810     0.219       9.7       6.1      37.4      21.3     0.999     0.000
  2    31.674     0.012      83.7       6.5      14.1      11.7     1.000     0.000
  2    35.806     0.013      93.9       7.6      11.7      14.1     1.000     0.000
  2    39.776     0.015      90.9       4.4       6.0       6.0     1.000     0.000
  2    43.903     0.023      57.2       3.7       6.3       6.3     1.000     0.000
  2    48.153     0.083      37.1       2.9       2.8       2.8     1.000     0.000
