version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5781782
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    37.448     0.235     4.327     0.014     4.270     0.007     0.645     0.017    38.092     0.015    0.0205    0.0024     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    21.691     0.097      32.8      10.7      54.7      25.5     0.985     0.000
  0    25.601     0.008      48.1       6.6      77.7      14.8     1.000     0.000
  0    29.761     0.019      74.3       7.2      32.3      11.3     1.000     0.000
  0    33.778     0.013      68.8       7.7      51.4      17.1     1.000     0.000
  0    38.150     0.017      92.9       4.4      23.3       5.4     1.000     0.000
  0    42.385     0.033      86.2       4.4      10.1       2.5     1.000     0.000
  0    46.751     0.060      48.3       8.3      14.2      10.9     1.000     0.000
  0    51.316     0.160      20.9       9.1      23.4      18.8     0.999     0.000
  2    28.888     0.208      65.0      14.6      13.4       5.3     0.997     0.000
  2    33.122     0.038      70.2       7.4       6.3       6.3     1.000     0.000
  2    37.441     0.022      85.7       6.4       5.3      13.4     1.000     0.000
  2    41.759     0.020      81.0       6.2       7.5       7.5     1.000     0.000
  2    46.196     0.054      52.5       7.5       9.1       9.1     1.000     0.000
  2    50.739     0.110      33.2       6.5       8.9       8.9     1.000     0.000
  1    30.877     0.006      11.2       7.8       0.0       0.0     0.757     0.373
  1    31.390     0.005      34.5       9.2     312.2     312.2     1.000     0.782
  1    31.689     0.012      31.5      12.0     221.1     121.3     0.905     0.964
  1    31.862     0.005      49.0       7.5     166.5      81.9     1.000     0.989
  1    32.053     0.008      28.9       8.8     284.0     117.2     1.000     0.872
  1    32.413     0.006      11.7       5.2       0.0       0.0     0.974     0.631
  1    35.666     0.029      25.5       9.3     262.0     123.1     0.547     0.952
  1    35.749     0.005      40.6      10.2     307.9     115.1     1.000     0.952
  1    35.957     0.009      40.1      12.1     243.1     120.2     1.000     0.952
  1    36.053     0.003      37.7       9.7     319.6     105.9     1.000     0.996
  1    36.228     0.007      70.1      14.2     248.1     111.0     1.000     0.996
  1    36.528     0.006      49.3      10.6     259.9     104.8     1.000     1.000
  1    36.625     0.007      30.5       9.0     302.2     108.9     0.993     1.000
  1    36.840     0.003      32.5       7.8     358.6      93.2     1.000     0.762
  1    36.934     0.007      21.6       6.8     310.1     101.8     0.263     0.762
  1    39.140     0.002      14.0       5.8       0.0       0.0     0.999     0.470
  1    39.647     0.001      15.1       7.3       0.0       0.0     1.000     0.666
  1    39.915     0.010      28.2       8.0     226.2     116.6     0.985     1.000
  1    40.025     0.005      33.7       8.3     325.0     108.0     1.000     1.000
  1    40.279     0.009      51.4      11.7     163.0      93.5     1.000     1.000
  1    40.349     0.037      26.2      10.6     294.1     123.5     0.836     1.000
  1    40.635     0.004      49.6       5.7     144.4      45.5     1.000     0.990
  1    40.964     0.003      24.7       4.7     352.1      92.7     1.000     0.777
  1    44.350     0.015      23.9       6.0     181.9     116.5     0.765     1.000
  1    44.416     0.003      26.1       6.4     383.1      89.1     1.000     1.000
  1    44.796     0.009      43.5       5.3      79.3      11.0     1.000     1.000
  1    45.137     0.012      22.4       6.8     267.1     106.9     0.915     0.831
  1    45.228     0.006      14.3       5.2     341.0     103.6     0.263     0.831
  1    49.013     0.008      18.9       4.2     201.6     127.2     0.950     1.000
  1    49.090     0.007      17.0       4.2     261.2     120.9     0.916     1.000
  1    49.460     0.006      16.5       3.0     185.5      96.8     0.976     0.957
  1    50.077     0.004      16.0       3.5     303.4      96.5     0.986     0.898
