version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6125893
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
     7.714     0.167     1.190     0.006     1.141     0.005     0.170     0.008     6.715     0.007    0.0466    0.0066     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     5.600     0.026     165.5      42.7      72.6      20.2     0.997     0.000
  0     6.728     0.007     240.4      20.8      83.7      12.5     1.000     0.000
  0     7.874     0.009     203.6      20.9      54.0      18.4     1.000     0.000
  0     9.107     0.011     227.1      12.4      53.2      14.9     1.000     0.000
  2     6.576     0.013     176.6      34.6      20.0      21.0     0.964     0.000
  2     7.702     0.016     198.8      23.8      21.0      20.0     1.000     0.000
  2     8.936     0.010     184.3      27.4      16.8      16.8     1.000     0.000
  2    10.117     0.015     129.7      17.4      18.5      18.5     1.000     0.000
  2    11.465     0.028      81.1      11.2      15.9      15.9     1.000     0.000
  2    12.783     0.039      60.4      10.5      13.4      13.4     0.999     0.000
