version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6792689
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
     2.742     0.050     0.617     0.007     0.613     0.005     0.101     0.005     2.769     0.005    0.0341    0.0144     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     2.167     0.029     595.0     105.2      51.8      23.0     0.997     0.000
  0     2.769     0.010     781.3     108.0      68.0      19.4     1.000     0.000
  0     3.389     0.010     477.2      40.8      72.0      16.2     1.000     0.000
  2     2.666     0.006     888.5      61.0      12.1      12.1     1.000     0.000
  2     3.950     0.023     220.3      40.7      18.8      18.8     0.997     0.000
  2     4.703     0.023     141.8      34.5      17.4      17.4     0.973     0.000
