version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  4832773
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   132.271     0.508    10.003     0.008    10.039     0.005     1.229     0.012   132.437     0.010    0.0023    0.0008     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0   102.692     0.021      17.6       1.7      25.6       8.2     1.000     0.000
  0   112.393     0.011      23.4       1.6      41.4      10.7     1.000     0.000
  0   122.442     0.012      29.7       0.9      26.6       4.3     1.000     0.000
  0   132.446     0.013      30.9       0.9      21.6       3.2     1.000     0.000
  0   142.429     0.015      28.1       0.8      18.3       2.7     1.000     0.000
  0   152.643     0.025      20.1       0.9      12.8       2.4     1.000     0.000
  0   162.842     0.034      11.4       1.2      14.9       7.2     1.000     0.000
  0   173.391     0.089       5.1       1.4      19.6      13.5     1.000     0.000
  0   183.422     0.147       5.0       1.5      14.7      15.4     0.977     0.000
  2    91.690     0.030      11.2       1.8      17.2       3.1     1.000     0.000
  2   101.486     0.029      10.2       1.8      23.1       3.9     0.996     0.000
  2   111.100     0.037      16.6       1.7       5.4       5.4     1.000     0.000
  2   121.206     0.023      22.3       1.6       3.9      23.1     1.000     0.000
  2   131.214     0.020      26.8       1.7       3.1      17.2     1.000     0.000
  2   141.255     0.025      22.0       1.4       2.6       2.6     1.000     0.000
  2   151.394     0.051      16.9       1.2       1.6       1.6     1.000     0.000
  2   161.781     0.053      12.0       1.2       3.3       3.3     1.000     0.000
  2   172.236     0.154      11.4       1.0       0.7       0.7     1.000     0.000
  1   126.850     0.001       3.9       3.4       0.0       0.0     0.287     0.546
  1   127.239     0.012      10.7       2.2      99.9      62.9     1.000     1.000
  1   127.405     0.018       9.2       2.1     103.2      65.8     1.000     1.000
  1   127.694     0.007       6.1       1.3     234.7     118.0     0.993     1.000
  1   134.909     0.014       6.8       1.7     128.0      97.4     0.999     1.000
  1   137.366     0.014      10.4       1.3      64.6       5.3     1.000     0.999
  1   146.644     0.008       5.5       0.8     119.2      28.1     1.000     0.977
  1   147.459     0.011       9.9       1.9      66.3      33.5     1.000     1.000
  1   147.990     0.008       5.4       1.4     231.6     122.3     0.485     1.000
  1   157.939     0.099       3.9       1.3     197.3     113.2     0.258     0.986
  1   158.197     0.008       4.2       1.2     244.2     118.4     0.900     0.986
  3   134.698     0.060       6.2       1.8     122.8      96.5     0.830     1.000
