version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11704163
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    46.243     0.245     4.799     0.008     4.822     0.005     0.638     0.009    48.159     0.008    0.0073    0.0014     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    34.105     0.032      49.6       6.4      22.7      12.1     1.000     0.000
  0    38.580     0.015      67.1       3.8      30.8       7.8     1.000     0.000
  0    43.384     0.009      85.8       2.8      39.5       8.3     1.000     0.000
  0    48.138     0.011      91.8       4.2      31.8       7.1     1.000     0.000
  0    52.961     0.018      61.1       4.5      25.3       7.0     1.000     0.000
  0    57.986     0.023      28.3       4.3      46.0      18.9     1.000     0.000
  0    62.971     0.094      18.0       5.6      31.5      22.0     1.000     0.000
  2    37.940     0.011      47.4       6.4      17.2      16.0     1.000     0.000
  2    42.684     0.012      64.7       7.1      16.6      16.6     1.000     0.000
  2    47.528     0.008      88.4       6.0      16.0      17.2     1.000     0.000
  2    52.357     0.025      63.5       3.6       4.0       4.0     1.000     0.000
  2    57.353     0.035      47.7       1.6       2.1       2.1     1.000     0.000
  2    62.373     0.067      28.7       4.1       6.4       6.4     1.000     0.000
  1    36.465     0.010      33.7       6.0     189.2     189.2     1.000     1.000
  1    36.666     0.016      15.6       7.7     251.3     120.4     0.220     0.819
  1    40.534     0.003       8.5       4.9       0.0       0.0     0.697     0.588
  1    40.907     0.011      24.2       5.7     216.5     216.5     1.000     0.763
  1    40.978     0.011      21.7       5.5     234.1     234.1     0.998     0.822
  1    41.052     0.013      35.0      14.9     189.7     117.0     0.947     1.000
  1    41.154     0.014      25.9      10.9     210.6     120.9     0.805     1.000
  1    41.646     0.007       7.2       4.9       0.0       0.0     0.790     0.643
  1    45.401     0.007       5.8       4.2       0.0       0.0     0.754     0.442
  1    45.555     0.006      14.8       3.1     253.5     111.2     0.799     0.928
  1    45.723     0.014      23.0       9.6     215.9     129.6     0.891     1.000
  1    45.849     0.016      24.7       9.3     172.7     115.7     0.988     1.000
  1    45.867     0.030      20.3       9.9     217.9     129.0     0.705     1.000
  1    45.972     0.013      53.3      19.6     153.2     102.8     1.000     1.000
  1    49.771     0.011      10.9       5.2     297.7     107.6     0.511     0.742
  1    49.997     0.004       8.8       4.8       0.0       0.0     0.212     0.698
  1    50.060     0.003       6.7       4.5       0.0       0.0     0.268     0.698
  1    50.319     0.015      14.9       6.4     231.4     120.1     0.657     1.000
  1    50.399     0.011      14.9       6.0     241.3     123.9     0.705     0.999
  1    50.614     0.004      38.5       6.1     193.6      90.4     1.000     1.000
  1    50.743     0.015      20.1       6.0     213.8     111.3     0.972     1.000
  1    50.804     0.009      17.4       5.5     300.7     117.1     0.980     1.000
  1    50.856     0.007      13.8       4.2     312.1     119.0     0.268     0.952
  1    50.914     0.005      27.2       4.7     206.2      96.5     1.000     0.952
  1    51.099     0.002       5.5       1.5       0.0       0.0     0.768     0.684
  1    53.968     0.004      10.4       2.5     325.6     103.7     0.609     0.779
  1    55.081     0.012      13.1       6.2     276.1     115.4     0.202     0.930
  1    55.267     0.013      16.0       6.3     199.1     117.2     0.765     0.981
  1    55.424     0.006      23.9       2.9     118.7      44.4     1.000     1.000
  1    55.572     0.013      22.1       7.7     296.6     124.0     0.997     1.000
  1    55.660     0.010      33.6       5.7     106.3      54.6     1.000     1.000
  1    55.783     0.004       6.6       2.8       0.0       0.0     0.999     0.711
  1    57.062     0.010      11.0       4.4     315.1      95.1     0.287     0.930
  1    57.163     0.019      14.4       5.0     310.5      94.8     0.826     0.930
  1    57.664     0.002       6.8       3.3       0.0       0.0     0.846     0.696
  1    59.141     0.013       7.8       3.8     265.7     126.2     0.378     0.637
  1    60.321     0.011      13.8       5.4     230.0     120.3     0.406     0.964
  1    60.505     0.015      18.3       7.0     171.8     109.3     0.998     0.995
  1    60.663     0.012      12.7       5.5     231.4     118.2     0.554     1.000
  1    60.877     0.012      11.0       5.0     262.4     113.8     0.455     0.904
  3    49.069     0.008      14.9       4.2     217.4     123.3     0.818     0.929
  3    49.134     0.011      16.2       4.8     202.6     126.6     0.668     0.929
