version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6676597
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    68.238     0.258     6.740     0.007     6.755     0.004     0.921     0.010    68.370     0.007    0.0099    0.0010     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    48.604     0.015      23.9       3.9      64.9      19.4     1.000     0.000
  0    55.004     0.022      34.4       4.0      29.8      13.4     1.000     0.000
  0    61.650     0.011      56.5       3.3      41.3       9.4     1.000     0.000
  0    68.383     0.009      73.0       2.4      35.8       6.0     1.000     0.000
  0    75.100     0.019      49.3       3.8      20.2       5.2     1.000     0.000
  0    82.033     0.029      32.1       3.0      15.5       5.4     1.000     0.000
  0    88.962     0.144      16.2       5.6      16.7      14.8     1.000     0.000
  0    95.816     0.187      10.3       3.1      28.6      18.6     0.985     0.000
  2    54.068     0.010      37.1       4.5      16.7       9.3     1.000     0.000
  2    60.690     0.017      47.6       4.3       8.2       8.2     1.000     0.000
  2    67.483     0.012      60.8       5.3       9.3      16.7     1.000     0.000
  2    74.210     0.014      57.9       2.5       4.9       4.9     1.000     0.000
  2    81.159     0.038      33.8       3.0       3.5       3.5     1.000     0.000
  2    88.131     0.101      22.4       4.7       9.2       9.2     1.000     0.000
  1    52.077     0.008      22.1       3.6     126.5      64.2     1.000     0.960
  1    56.892     0.002       6.7       4.1       0.0       0.0     0.766     0.509
  1    57.561     0.002       6.9       3.7       0.0       0.0     0.450     0.680
  1    58.002     0.004      16.9       3.6     350.6      96.3     1.000     0.756
  1    58.162     0.007      14.4       3.6     300.4     112.4     0.999     0.828
  1    58.370     0.006      26.5       5.1     238.5     238.5     1.000     0.793
  1    58.527     0.009      21.1       6.8     250.8     119.5     1.000     0.937
  1    58.565     0.033      12.8       6.8     277.9     123.7     0.201     0.937
  1    58.748     0.013      14.9       6.0     229.3     118.0     0.449     1.000
  1    58.946     0.003       9.9       5.5       0.0       0.0     0.908     0.610
  1    58.977     0.002       7.8       4.4       0.0       0.0     0.936     0.610
  1    64.220     0.002       5.7       2.4       0.0       0.0     0.859     0.655
  1    64.464     0.005      11.4       3.0     299.6     115.0     0.247     0.825
  1    64.501     0.003      14.1       3.2     344.7     100.6     0.997     0.825
  1    64.756     0.007      26.1       6.8     248.3     105.5     1.000     0.961
  1    64.960     0.027      13.1       5.9     269.7     125.1     0.790     0.838
  1    64.991     0.004      28.1       8.4       0.0       0.0     1.000     0.734
  1    65.024     0.003      18.5       7.7       0.0       0.0     1.000     0.734
  1    65.194     0.010      23.4       7.6     257.6     119.1     0.811     0.946
  1    65.236     0.003      47.2       8.5     328.6      94.8     1.000     0.946
  1    65.438     0.005      24.2       5.8     334.4     102.5     1.000     1.000
  1    65.484     0.008      23.0       5.9     328.3     106.2     1.000     1.000
  1    65.732     0.003      17.3       5.8       0.0       0.0     1.000     0.706
  1    65.758     0.003       9.5       4.1       0.0       0.0     1.000     0.706
  1    66.004     0.027      11.7       4.6     326.6     105.6     0.561     0.942
  1    66.061     0.008      19.0       5.2     262.8     106.1     1.000     0.942
  1    66.325     0.006      16.2       3.0     267.2      97.7     1.000     0.954
  1    70.858     0.007      10.6       3.9     323.7     111.8     0.934     0.771
  1    71.195     0.006      10.7       3.5     325.9     114.6     0.738     0.790
  1    71.268     0.021      11.5       3.8     287.2     117.3     0.602     0.790
  1    71.446     0.002       8.7       5.8       0.0       0.0     0.665     0.609
  1    71.521     0.003      19.2       6.5       0.0       0.0     1.000     0.609
  1    71.582     0.003      11.8       5.1       0.0       0.0     0.975     0.609
  1    71.709     0.013      16.7       4.9     291.0     121.6     0.488     1.000
  1    71.802     0.006      47.6       6.5     132.6      56.1     1.000     1.000
  1    71.985     0.006      18.4       5.1     326.5     111.6     1.000     1.000
  1    72.026     0.021      16.1       5.3     294.1     117.2     0.997     1.000
  1    72.120     0.007      21.4       5.7     232.8     109.8     1.000     0.987
  1    72.282     0.004      22.8       5.0     319.0     105.0     1.000     0.987
  1    72.369     0.007      15.8       4.6     291.1     117.8     0.923     0.987
  1    72.616     0.006      14.1       4.0     296.7     111.6     0.997     0.764
  1    72.803     0.004      13.6       4.4     332.8     104.7     0.992     0.764
  1    77.755     0.002      10.2       1.6     399.0      74.5     1.000     0.783
  1    78.283     0.009      17.7       3.0     118.2      62.8     1.000     1.000
  1    78.385     0.007      10.3       2.9     272.7     122.7     0.404     1.000
  1    78.580     0.027      18.5       5.6     131.7     104.7     0.945     1.000
  1    78.710     0.010      27.6       5.2     101.3      69.8     1.000     1.000
  1    79.168     0.009      12.6       3.7     255.1     111.0     0.867     0.916
  1    79.308     0.004      13.3       3.8     336.4     106.1     1.000     0.916
  1    84.630     0.003       6.6       4.1       0.0       0.0     0.983     0.715
  1    85.677     0.015      13.1       4.2     235.2     120.5     0.978     1.000
  1    85.859     0.009      12.2       3.5     224.6     119.2     0.991     1.000
  1    86.121     0.004       9.1       2.3     337.4     104.4     0.998     0.932
  1    88.636     0.003       4.7       2.9       0.0       0.0     0.766     0.633
  3    69.634     0.013      16.3       6.1     185.1     114.4     0.979     0.981
