version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3633057
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    50.805     0.203     5.231     0.008     5.182     0.006     0.694     0.011    47.503     0.008    0.0142    0.0016     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    32.189     0.016      20.7       3.9      67.7      19.0     0.932     0.000
  0    37.332     0.012      38.2       5.5      67.5      18.3     1.000     0.000
  0    42.256     0.015      55.5       4.8      36.4      12.9     1.000     0.000
  0    47.520     0.007      78.7       3.1      59.6      11.9     1.000     0.000
  0    52.726     0.014      74.1       4.2      27.9       6.2     1.000     0.000
  0    57.996     0.025      52.7       3.5      18.9       5.3     1.000     0.000
  0    63.369     0.063      38.7       3.8       8.1       3.5     1.000     0.000
  2    41.513     0.014      42.5       6.2      22.1       7.7     1.000     0.000
  2    46.813     0.012      59.0       6.6      16.6      16.6     1.000     0.000
  2    52.029     0.012      75.3       3.8       7.7      22.1     1.000     0.000
  2    57.347     0.026      48.9       4.4       7.4       7.4     1.000     0.000
  2    62.715     0.033      29.6       5.9      24.2      24.2     1.000     0.000
  2    68.175     0.056      17.7       3.4      14.8      14.8     1.000     0.000
  1    34.809     0.001       7.8       2.8       0.0       0.0     0.654     0.551
  1    39.924     0.015      21.8       9.3     227.2     122.8     0.784     1.000
  1    40.035     0.013      21.7       9.7     248.9     121.3     0.640     1.000
  1    44.784     0.011      17.1       7.2     265.0     120.6     0.434     0.898
  1    44.944     0.004      50.1       7.3     214.0     102.2     1.000     0.944
  1    45.000     0.002      21.4       6.8     327.2     121.9     0.441     0.944
  1    45.049     0.014      24.1      10.6     223.2     119.9     0.795     1.000
  1    50.129     0.012      12.9       6.3     263.7     120.0     0.228     0.866
  1    50.232     0.013      60.6      27.3     197.6     114.6     1.000     1.000
  1    50.353     0.003      53.6       8.9     328.8     328.8     1.000     0.790
  1    50.478     0.013      15.7       4.9     255.8     255.8     0.977     0.792
  1    50.696     0.004      19.4       3.6     294.8     105.7     1.000     0.910
  1    55.291     0.005      43.7       7.1     125.9      89.6     1.000     1.000
  1    55.363     0.013      25.0       9.3     187.4     116.4     0.801     1.000
  1    55.442     0.005      54.4       7.2     148.1      62.1     1.000     0.969
  1    55.527     0.014      19.7       6.3     301.5     120.8     0.356     0.969
  1    55.572     0.011      20.0       9.1     282.0     113.9     0.938     0.926
  1    55.753     0.012      17.0       4.7     220.1     109.9     0.961     1.000
  1    56.057     0.003       6.1       3.5       0.0       0.0     0.725     0.480
  1    60.352     0.005      13.4       3.0     282.3     116.3     0.978     0.880
  1    60.627     0.007      18.2       2.9     131.7      65.4     1.000     0.981
  1    60.787     0.010      25.3       8.0     221.0     127.5     1.000     0.995
  1    60.848     0.014      30.3       8.0     185.4     114.8     1.000     0.995
  1    60.986     0.008      15.9       2.9     156.4      75.6     1.000     0.979
  1    61.550     0.006       4.7       3.3       0.0       0.0     0.837     0.466
  3    53.688     0.013      14.9       6.3     217.1     121.5     0.683     1.000
