version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10728179
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    37.089     0.209     4.369     0.014     4.285     0.008     0.623     0.018    38.346     0.013    0.0074    0.0026     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    25.721     0.020      48.1       8.1      53.2      20.9     1.000     0.000
  0    29.892     0.021      81.7       5.4      23.2       6.8     1.000     0.000
  0    33.969     0.013      98.0       6.1      36.9      10.1     1.000     0.000
  0    38.380     0.013     106.7       4.0      29.1       6.0     1.000     0.000
  0    42.666     0.019      78.8       5.9      22.9       9.2     1.000     0.000
  0    46.967     0.037      48.6       5.3      10.7       4.3     1.000     0.000
  2    29.258     0.021      53.4       8.9      23.9       9.6     1.000     0.000
  2    33.344     0.055      88.4       9.5       3.9       3.9     1.000     0.000
  2    37.737     0.015      91.8       7.8       9.6      23.9     1.000     0.000
  2    42.062     0.059      80.5       5.6       2.1       2.1     1.000     0.000
  2    46.353     0.032      44.8       5.8      10.4      10.4     1.000     0.000
  2    51.322     0.126      28.3       6.0       9.8       9.8     1.000     0.000
  1    27.360     0.001      12.5       4.4       0.0       0.0     0.964     0.415
  1    28.177     0.011      26.3      12.3     293.7     114.3     0.430     0.895
  1    28.375     0.002      14.2       4.3       0.0       0.0     0.914     0.729
  1    29.056     0.012      22.0      10.1     315.9      97.1     0.482     0.770
  1    31.327     0.003      18.3      10.1       0.0       0.0     0.998     0.601
  1    31.862     0.005      53.7      10.8     306.0     306.0     1.000     0.757
  1    32.088     0.003      39.5       6.9     342.6      94.5     1.000     0.820
  1    32.351     0.002      17.6       5.1       0.0       0.0     1.000     0.730
  1    32.632     0.011      19.1       8.1     297.5     104.8     0.430     0.660
  1    32.945     0.006      37.5       8.5     288.8      99.7     1.000     0.910
  1    34.268     0.003      11.6       3.6       0.0       0.0     0.984     0.720
  1    34.611     0.007      29.6      10.1     337.3     100.9     1.000     0.769
  1    35.329     0.004      11.5       3.6       0.0       0.0     1.000     0.428
  1    35.694     0.006      14.4       8.9       0.0       0.0     1.000     0.484
  1    36.012     0.005      51.3       9.5     227.3     100.2     1.000     0.914
  1    36.048     0.003      31.9       7.9     362.9      92.0     0.925     0.914
  1    36.319     0.004      50.0      13.5       0.0       0.0     1.000     0.550
  1    36.348     0.002      26.5      13.8       0.0       0.0     1.000     0.550
  1    36.653     0.007      55.6      22.2     337.9      98.2     1.000     0.751
  1    37.392     0.005      24.7       7.1     338.7     338.7     0.999     0.794
  1    38.679     0.003      12.8       5.8       0.0       0.0     0.951     0.663
  1    39.578     0.007      26.1       9.6     314.2     106.6     1.000     0.803
  1    39.959     0.010      19.9       6.4     282.9     116.1     0.219     0.962
  1    40.009     0.005      32.2       6.7     283.4     111.7     1.000     0.962
  1    40.382     0.030      37.6      15.1     229.3     120.0     1.000     1.000
  1    40.426     0.009      46.0      13.9     265.2     119.4     1.000     1.000
  1    40.758     0.011      50.4      17.8     200.5     112.1     1.000     0.993
  1    41.167     0.004      46.3       7.0     221.7      88.9     1.000     0.980
  1    41.654     0.005      15.6       5.3     345.3      97.5     0.329     0.782
  1    43.205     0.005      25.2       5.0     228.6     106.7     0.998     0.936
  1    43.778     0.002      12.3       6.4       0.0       0.0     1.000     0.683
  1    44.296     0.008      38.1      12.4     266.9     107.5     1.000     0.958
  1    44.682     0.078      21.7      12.6     205.4     125.8     0.413     1.000
  1    44.762     0.011      45.1      11.2     148.5      96.0     1.000     1.000
  1    45.089     0.005      35.8       7.6     275.0     107.4     1.000     0.966
  1    45.271     0.029      22.1       7.0     185.7     111.8     0.708     0.966
  1    45.732     0.003      12.7       2.8     365.0      92.7     0.305     0.766
  3    39.114     0.001      17.4       5.9       0.0       0.0     1.000     0.448
