version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  7346365
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    52.281     0.224     5.291     0.006     5.305     0.004     0.686     0.008    53.206     0.006    0.0105    0.0010     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    32.532     0.017      33.9       6.0      62.6      20.7     1.000     0.000
  0    37.774     0.015      31.8       5.7      68.2      20.2     1.000     0.000
  0    42.712     0.011      61.7       4.5      50.7      14.6     1.000     0.000
  0    47.932     0.010      79.2       4.4      44.6      10.1     1.000     0.000
  0    53.222     0.007      95.6       4.2      58.2      10.5     1.000     0.000
  0    58.495     0.009      65.1       4.7      53.6      12.4     1.000     0.000
  0    63.955     0.026      42.7       3.5      17.2       4.8     1.000     0.000
  0    69.380     0.047      29.3       3.7      13.7       6.2     1.000     0.000
  2    26.752     0.019      26.4       4.8      22.5      14.2     0.919     0.000
  2    36.979     0.021      36.1       5.8      19.9      14.2     1.000     0.000
  2    42.069     0.026      45.8       5.9      12.8      12.8     1.000     0.000
  2    47.199     0.010      74.0       6.2      14.2      19.9     1.000     0.000
  2    52.551     0.008      88.8       7.0      14.2      22.5     1.000     0.000
  2    57.784     0.016      65.0       4.2       5.3       5.3     1.000     0.000
  2    63.279     0.024      44.8       3.2       5.1       5.1     1.000     0.000
  2    68.634     0.071      26.9       4.3       6.5       6.5     1.000     0.000
  2    73.896     0.176      22.2       3.5       3.9       3.9     1.000     0.000
  1    39.810     0.008       7.2       5.2       0.0       0.0     0.295     0.542
  1    40.355     0.012      24.9      10.6     232.9     120.0     0.615     0.944
  1    40.428     0.014      17.5       8.4     249.5     124.1     0.328     0.947
  1    40.542     0.004      19.1       4.7     318.1     112.7     0.961     0.859
  1    45.279     0.004      40.1       8.2     310.3     107.6     1.000     1.000
  1    45.325     0.004      30.3      10.2     302.4     122.3     0.998     1.000
  1    45.401     0.008      36.5       8.8     198.4     113.4     1.000     1.000
  1    45.463     0.006      39.3       9.8     214.0     120.6     1.000     1.000
  1    45.596     0.028      16.9       8.3     244.0     122.1     0.414     1.000
  1    45.620     0.013      18.8       8.1     250.6     123.7     0.886     1.000
  1    50.228     0.012      13.5       5.9     274.2     117.5     0.717     0.853
  1    50.515     0.012      20.4       8.4     208.6     123.1     0.701     1.000
  1    50.660     0.010      50.1      18.8     212.6     114.7     1.000     1.000
  1    50.779     0.007      60.0       8.5      97.8      32.1     1.000     0.999
  1    50.864     0.011      29.1       9.7     220.3     122.1     0.402     0.999
  1    50.926     0.002       7.2       4.0       0.0       0.0     0.465     0.735
  1    51.028     0.009      15.1       6.1     301.0     113.6     0.996     0.823
  1    51.185     0.001       9.6       5.7       0.0       0.0     0.976     0.062
  1    51.489     0.011      10.8       5.5     321.2     102.6     0.202     0.721
  1    55.506     0.006       7.8       4.3       0.0       0.0     0.533     0.706
  1    55.620     0.015      17.7       5.8     259.0     123.8     0.960     1.000
  1    55.689     0.007      18.1       5.5     291.0     126.4     0.999     1.000
  1    55.802     0.008      30.5       8.6     232.1     126.2     0.999     0.998
  1    55.864     0.005      38.2       9.5     299.3     113.2     1.000     0.998
  1    55.945     0.006      52.0      10.2     181.6      96.1     1.000     0.998
  1    56.130     0.004      48.0       5.3      85.1      17.6     1.000     0.991
  1    56.278     0.011      13.0       4.7     274.6     118.5     0.808     0.819
  1    56.344     0.033      12.8       5.2     291.9     120.8     0.606     0.819
  1    57.892     0.027      11.7       5.1     325.5      95.2     0.256     0.850
  1    57.944     0.007      14.5       4.8     326.7      94.1     0.871     0.850
  1    61.098     0.005      25.5       3.3     141.3      54.4     1.000     1.000
  1    61.278     0.033      25.9      11.6     210.9     141.4     0.440     1.000
  1    61.295     0.007      33.4       8.8     194.4     137.1     1.000     1.000
  1    61.424     0.005      24.2       5.7     296.8     113.7     0.999     0.974
  1    61.487     0.009      31.0       4.8      90.1      25.5     1.000     0.974
  1    61.608     0.009      17.4       5.0     234.7     115.8     1.000     1.000
  1    61.682     0.036      13.7       5.5     220.1     116.5     0.534     1.000
  1    61.849     0.003       6.2       2.9       0.0       0.0     0.892     0.604
  1    63.069     0.005       5.3       3.4       0.0       0.0     0.604     0.493
  1    65.899     0.005       5.1       2.9       0.0       0.0     0.965     0.585
  1    66.520     0.042      10.1       5.4     233.3     129.2     0.629     0.991
  1    66.541     0.018      12.7       5.0     175.2     115.4     0.912     0.991
  1    66.702     0.014      19.2       8.7     165.3     135.5     1.000     1.000
  1    66.770     0.031      20.0       8.4     158.9     132.9     1.000     1.000
  1    66.961     0.010      19.3       3.1     102.8      28.9     1.000     1.000
  1    67.046     0.010      12.4       3.5     230.0     124.5     0.317     1.000
  1    72.414     0.004       6.5       1.9     332.0     121.8     0.431     0.947
  3    54.230     0.052      13.1       7.5     236.7     133.3     0.247     0.992
  3    54.251     0.013      22.1       7.0     167.3     112.0     0.999     0.992
