version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  8805663
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    49.771     0.305     4.866     0.010     4.569     0.007     0.575     0.020    48.230     0.012    0.0541    0.0008     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    38.966     0.014      23.1       4.2      67.9      20.7     1.000     0.000
  0    43.838     0.009      40.1       4.2      73.2      16.8     1.000     0.000
  0    48.093     0.008      42.0       3.0      69.8      15.1     1.000     0.000
  0    52.961     0.009      40.4       2.8      61.9      15.3     1.000     0.000
  0    57.824     0.009      37.5       3.5      63.0      15.3     1.000     0.000
  0    62.548     0.005      28.3       2.1      17.5       4.5     1.000     0.000
  0    68.076     0.213      15.1       3.9      10.9      11.5     0.951     0.000
  2    43.137     0.014      24.8       4.3      18.4      17.1     1.000     0.000
  2    47.548     0.010      26.9       4.1      17.9      17.9     1.000     0.000
  2    52.371     0.009      31.1       4.1      17.1      18.4     1.000     0.000
  2    56.971     0.041      24.1       5.1      22.0      22.0     1.000     0.000
  2    61.689     0.020      25.1       3.2      10.4      10.4     1.000     0.000
  1    39.281     0.007      24.2       5.2     278.8      85.8     0.994     0.917
  1    39.324     0.004      15.4       4.0     365.2      90.0     0.560     0.917
  1    39.636     0.004      28.2       5.2     327.9      98.4     1.000     0.893
  1    40.968     0.010      19.6       7.4     269.6     113.1     0.885     0.944
  1    41.224     0.015      25.1       7.7     190.9     123.6     0.979     1.000
  1    41.324     0.014      34.1       6.7      81.4      45.3     1.000     1.000
  1    41.801     0.014       9.7       4.7     289.6     115.5     0.520     0.487
  1    42.811     0.003      11.3       5.1       0.0       0.0     0.999     0.739
  1    43.452     0.009      25.6       7.3     278.1      90.5     0.996     0.971
  1    43.533     0.029      16.2       6.0     337.1      93.6     0.851     0.971
  1    44.990     0.010      23.1       9.2     222.9     144.9     0.289     1.000
  1    45.134     0.022      50.6       7.8      59.5      14.0     1.000     1.000
  1    45.463     0.003       8.1       5.5       0.0       0.0     0.655     0.603
  1    45.616     0.028      29.2       6.5      96.6      43.5     0.938     1.000
  1    45.766     0.008      43.3       8.1      87.7      34.9     1.000     1.000
  1    46.143     0.008      14.3       5.2     304.3     112.3     0.987     0.851
  1    46.994     0.002      11.8       5.0       0.0       0.0     1.000     0.497
  1    48.557     0.008      19.3       6.2     293.0      97.3     0.807     0.986
  1    48.606     0.009      30.3       6.6     211.1      41.3     1.000     0.986
  1    49.230     0.007      22.4       7.3     287.8     111.8     1.000     0.863
  1    49.657     0.007      19.7       5.5     271.0     109.7     0.551     1.000
  1    49.812     0.010      24.1       6.8     255.1     108.7     0.630     1.000
  1    49.950     0.006      51.7       7.2     130.1      28.2     1.000     1.000
  1    50.425     0.008      51.6       6.1      71.4      14.2     1.000     1.000
  1    50.644     0.006      21.4       5.5     264.8     127.9     0.901     1.000
  1    50.720     0.006      15.1       2.8     230.5     102.2     0.994     0.913
  1    51.393     0.006      12.4       3.7     306.5     106.2     0.766     0.945
  1    53.583     0.009      21.2       4.7     167.2     103.8     1.000     1.000
  1    54.326     0.012      37.4       8.5     186.3      67.9     1.000     1.000
  1    54.529     0.008      50.5      10.1     187.7      69.8     1.000     1.000
  1    54.787     0.019      44.3       8.7     163.5      45.3     1.000     1.000
  1    55.027     0.058      23.8       6.3     163.8      99.4     0.941     1.000
  1    55.129     0.011      38.8       6.8      96.9      34.1     1.000     1.000
  1    55.342     0.028      19.1       5.3     156.5      99.5     0.611     1.000
  1    56.241     0.008      24.8       6.4     226.0      90.0     1.000     0.995
  1    57.368     0.006      35.2       6.3     267.2      86.4     1.000     0.957
  1    59.187     0.014      36.4       4.4      54.8       5.0     1.000     1.000
  1    59.448     0.060      16.2       4.0     177.9      97.7     0.551     1.000
  1    59.734     0.009      32.8       4.4     101.8      12.6     1.000     1.000
  1    59.944     0.043       7.2       2.7     256.9     256.9     0.586     0.473
  1    60.766     0.009      15.9       5.4     253.6     107.8     0.988     0.971
  1    62.430     0.010       9.4       3.6     319.3      94.0     0.963     0.858
  1    64.079     0.025      23.1       3.5      58.7       8.6     1.000     1.000
  1    64.331     0.009      17.9       3.8     140.2      88.8     1.000     1.000
  1    65.029     0.003       6.0       3.8       0.0       0.0     0.926     0.657
  3    40.038     0.004      11.9       6.5       0.0       0.0     0.993     0.651
  3    44.314     0.005      20.9       3.7     226.2     109.5     1.000     0.929
  3    54.006     0.032      10.4       3.8     200.6     200.6     0.652     0.612
  3    58.659     0.010      12.4       3.6     211.6     121.7     0.991     0.953
  3    63.768     0.013      17.4       2.5      71.4      22.4     1.000     1.000
