version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  4165109
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    21.006     0.164     2.434     0.008     2.340     0.010     0.314     0.011    18.705     0.010    0.0379    0.0055     3
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    16.461     0.008      77.7       8.4      68.8      18.2     1.000     0.000
  0    18.690     0.011     122.0      11.4      61.2      17.8     1.000     0.000
  0    21.136     0.013     107.6       8.6      46.6      16.1     1.000     0.000
  0    23.520     0.018     106.7       7.4      33.6      11.9     1.000     0.000
  0    25.966     0.019      70.0       6.8      22.2       9.5     1.000     0.000
  2    18.374     0.010     130.8       7.9      14.7      17.5     1.000     0.000
  2    20.815     0.011     108.8       8.1      17.5      14.7     1.000     0.000
  2    23.244     0.024     106.3       7.8       9.1       9.1     1.000     0.000
  2    25.604     0.057      68.9       7.6      10.0      10.0     1.000     0.000
  2    28.227     0.052      43.3       5.0      10.8      10.8     1.000     0.000
  1    17.563     0.010      78.5      12.7     156.8     156.8     1.000     1.000
  1    17.635     0.014      55.1      23.3     227.6     124.7     0.762     1.000
  1    17.733     0.018      37.3      13.8     254.2     254.2     0.898     0.766
  1    19.928     0.017      98.3      37.5     173.5     112.9     0.998     1.000
  1    20.007     0.010      68.8      11.9     177.1     177.1     1.000     1.000
  1    20.213     0.004      18.3       9.2       0.0       0.0     0.364     0.706
  1    22.294     0.006      41.0      10.4     265.8     129.4     0.939     0.927
  1    22.343     0.005      46.3      10.1     255.4     118.7     0.998     0.927
  1    22.410     0.009      72.9      18.2     200.4     116.4     0.997     0.994
  1    22.471     0.007      95.8      15.0     134.0      60.6     1.000     0.994
  1    22.912     0.014      39.6      11.6     275.4     275.4     0.988     0.789
  1    24.574     0.012      20.0       9.4     295.9     119.0     0.828     0.709
  1    24.622     0.041      30.8      14.9     217.4     123.9     0.681     0.999
  1    24.647     0.017      28.3      14.6     212.5     123.4     0.450     0.999
  1    24.792     0.015      69.8      26.3     139.8     107.2     1.000     1.000
