version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5770031
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    35.137     0.180     4.278     0.014     4.239     0.006     0.661     0.013    37.665     0.009    0.0112    0.0020     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    17.363     0.123      44.0      13.3      48.5      24.6     0.989     0.000
  0    25.325     0.013      49.0       8.7      72.2      19.0     1.000     0.000
  0    29.285     0.021      90.8       6.1      24.7       8.6     1.000     0.000
  0    33.423     0.011     107.7       6.2      47.9      12.8     1.000     0.000
  0    37.727     0.026     108.8       6.2      14.4       3.9     1.000     0.000
  0    41.982     0.047      72.4       5.2       9.4       2.7     1.000     0.000
  2    28.703     0.046      57.9      11.1      18.7       2.5     0.998     0.000
  2    32.669     0.032      96.1       8.1       4.4       4.4     1.000     0.000
  2    37.031     0.031     112.7       4.4       2.5      18.7     1.000     0.000
  2    41.218     0.043      62.3       7.0       4.9       4.9     1.000     0.000
  2    45.875     0.059      50.9      10.3      11.5      11.5     1.000     0.000
  2    50.262     0.120      18.5       5.8      18.4      18.4     0.987     0.000
  2    54.117     0.031      23.2       2.6       7.2       7.2     1.000     0.000
  1    17.582     0.002      13.6       5.4       0.0       0.0     0.238     0.692
  1    27.209     0.011      27.7      13.7     306.4     110.4     0.207     0.752
  1    27.537     0.017      36.2      16.3     222.5     122.0     0.752     1.000
  1    27.572     0.038      33.4      17.2     217.6     120.1     0.742     1.000
  1    27.779     0.015      33.0      15.4     267.4     113.6     0.293     0.923
  1    27.971     0.012      43.4      18.7     294.1     104.7     1.000     0.921
  1    30.680     0.017      29.5      13.6     283.4     103.4     0.345     0.940
  1    30.938     0.006      32.9       6.7     259.0     109.2     0.994     0.937
  1    31.218     0.015      24.8      11.5     256.4     123.9     0.228     0.882
  1    31.442     0.016      60.7      26.6     229.1     115.1     0.997     0.975
  1    31.672     0.013      53.1      24.1     266.8     110.8     0.990     0.931
  1    31.886     0.027      32.8      13.0     277.6     108.8     0.642     1.000
  1    31.945     0.009      43.5      12.6     282.6     108.4     1.000     1.000
  1    34.506     0.018      38.0      15.2     146.9     111.9     0.993     1.000
  1    34.812     0.006      31.5       7.1     268.6      98.5     0.997     0.926
  1    35.128     0.006      46.4      10.4     215.2      94.7     1.000     0.966
  1    35.453     0.004      44.7      11.5     335.2      97.5     0.988     0.871
  1    35.476     0.004      48.7      11.5     325.4      92.1     1.000     0.871
  1    35.766     0.013      58.9      24.2     203.5     111.8     1.000     0.982
  1    36.061     0.008      62.8      10.3     145.2      33.4     1.000     0.964
  1    36.116     0.004      35.9       9.9     336.5     108.0     0.784     0.964
  1    36.429     0.004      42.6       7.4     278.8      98.7     1.000     0.941
  1    38.832     0.007      33.6       9.2     280.2     117.1     1.000     0.896
  1    39.283     0.011      50.3      17.9     225.6      99.3     1.000     0.983
  1    39.650     0.018      26.4       8.2     269.6     125.0     0.696     0.968
  1    39.696     0.006      36.8       8.3     256.9     121.0     1.000     0.968
  1    40.020     0.013      47.5      19.0     257.2     112.8     1.000     0.944
  1    40.410     0.009      19.9       7.4     301.6     111.0     0.951     0.823
  1    43.794     0.005      26.8       4.5     216.5      98.5     1.000     0.963
  1    43.861     0.006      18.6       4.4     247.8     115.4     0.214     0.963
  1    44.220     0.030      35.2      10.4     132.5      92.2     1.000     1.000
  1    44.325     0.010      34.0      10.8     212.3     123.7     1.000     1.000
  1    44.691     0.009      22.9       8.8     291.4     108.2     0.924     0.875
  1    45.561     0.013      18.0       6.6     308.9      96.6     0.996     0.899
  3    34.132     0.014      28.1      12.6     275.7     114.0     0.950     0.909
  3    38.417     0.011      21.5       9.0     269.5     123.4     0.660     0.811
