version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10545081
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    23.072     0.157     3.132     0.011     3.014     0.008     0.495     0.019    21.017     0.014    0.0229    0.0041     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     9.763     0.108      75.7      25.1      57.4      23.8     0.980     0.000
  0    15.096     0.018      85.9      11.8      45.9      17.9     1.000     0.000
  0    18.093     0.013     120.5      12.2      52.4      18.7     1.000     0.000
  0    20.925     0.012     165.5      10.5      43.4      13.7     1.000     0.000
  0    24.130     0.011     164.8       6.4      37.6      11.3     1.000     0.000
  0    27.168     0.011     114.6      10.1      56.9      16.7     1.000     0.000
  0    30.356     0.057      47.3      12.5      38.2      21.2     1.000     0.000
  2    17.569     0.050      79.7      17.5      23.6       7.9     0.933     0.000
  2    20.398     0.041     161.7      12.4       4.2       4.2     1.000     0.000
  2    23.646     0.031     141.0      14.6       7.9      23.6     1.000     0.000
  2    26.668     0.037     116.3       9.0       4.0       4.0     1.000     0.000
  2    29.942     0.065      72.3       8.7       5.6       5.6     1.000     0.000
  2    33.329     0.141      34.9      10.1      14.6      14.6     0.981     0.000
  1    19.130     0.013      44.8      15.1     294.1     294.1     0.963     0.785
  1    19.394     0.012      54.9      23.2     240.4     120.8     0.906     1.000
  1    19.412     0.024      51.1      23.8     231.1     120.8     0.437     1.000
  1    19.650     0.012      52.7      20.6     254.3     127.6     0.924     0.910
  1    19.688     0.018      58.9      21.8     244.9     125.6     0.967     0.910
  1    19.795     0.012      52.1      25.9     281.8     114.5     0.254     0.928
  1    22.124     0.010      43.6      18.7     303.8     108.9     0.888     0.871
  1    22.446     0.007      47.3      15.8     303.4     129.0     0.991     1.000
  1    22.506     0.016      55.2      16.8     249.7     119.7     0.986     1.000
  1    22.558     0.011      35.1      17.3     302.9     116.2     0.207     0.754
  1    22.657     0.012      42.4      18.6     263.1     122.0     0.558     0.944
  1    22.763     0.011      54.9      13.2     220.2     220.2     1.000     0.902
  1    22.952     0.008      56.3      21.3     332.1     100.6     1.000     0.870
  1    23.082     0.004      30.1       7.1     351.6      91.8     0.285     0.784
  1    23.121     0.027      35.0      13.3     340.7      98.9     0.277     0.915
  1    23.196     0.005      53.3      14.0     336.3      95.0     1.000     0.915
  1    23.299     0.007      13.6       9.5       0.0       0.0     0.489     0.413
  1    24.863     0.006      15.8       9.5       0.0       0.0     0.572     0.578
  1    24.968     0.003      19.7      11.0       0.0       0.0     0.525     0.291
  1    25.372     0.010      30.7      13.9     292.6     113.4     0.243     0.863
  1    25.516     0.010      69.1      30.9     262.0     117.5     0.975     0.948
  1    25.645     0.004      59.7      12.8     329.9     103.1     1.000     0.859
  1    25.668     0.004      49.8      12.9     347.1      96.2     0.959     0.859
  1    25.785     0.010      59.4      14.0     157.8      92.5     1.000     1.000
  1    25.870     0.015      52.6      15.5     252.7     121.9     0.999     1.000
  1    25.944     0.012      30.6      14.2     294.9     112.2     0.263     0.876
  1    26.009     0.007      35.5      16.0       0.0       0.0     0.266     0.668
  1    26.052     0.002      24.2      13.7       0.0       0.0     0.643     0.668
  1    26.146     0.001      24.2      15.9       0.0       0.0     0.555     0.668
  1    26.274     0.004      26.8       6.9     333.7     103.2     0.478     0.824
  1    28.723     0.011      35.5      14.7     233.3     125.5     0.902     1.000
  1    28.871     0.011      53.5      14.5     187.1     120.6     1.000     1.000
  1    28.942     0.035      42.3      17.1     175.8     114.6     0.952     1.000
  1    29.051     0.033      25.9      10.7     299.1     113.0     0.338     0.930
  1    29.131     0.008      36.1      10.7     287.3     109.2     0.997     0.930
  1    29.213     0.006      38.2      10.5     297.4     104.3     0.839     0.952
  1    30.154     0.002       9.4       4.8       0.0       0.0     0.540     0.273
