version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  9508346
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    12.538     0.121     1.795     0.009     1.772     0.004     0.264     0.009    12.169     0.006    0.0344    0.0039     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     8.731     0.038      79.6      25.9      65.3      23.5     0.982     0.000
  0    10.425     0.008     160.6      16.0      80.6      14.1     1.000     0.000
  0    12.165     0.007     190.2      12.0      76.7      13.9     1.000     0.000
  0    13.989     0.011     156.0      15.8      62.5      17.4     1.000     0.000
  0    15.840     0.054      85.7      21.0      28.0      21.2     0.916     0.000
  2    10.172     0.016     116.5      22.1      19.6      17.8     0.988     0.000
  2    11.885     0.011     157.1      21.1      17.8      19.6     1.000     0.000
  2    13.751     0.016     166.8      11.8      13.2      13.2     1.000     0.000
  2    15.542     0.025     116.5       8.2      11.0      11.0     1.000     0.000
  2    17.432     0.038      77.3       8.7      14.3      14.3     1.000     0.000
