version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11465942
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   103.141     0.896     7.808     0.017     7.707     0.009     0.880     0.006    93.571     0.016    0.0162    0.0017     2
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    70.870     0.017      12.0       1.9      56.6      20.3     1.000     0.000
  0    78.476     0.022      15.3       1.9      33.4      14.7     1.000     0.000
  0    85.824     0.021      21.0       1.8      22.8       7.2     1.000     0.000
  0    93.571     0.023      24.0       1.5      16.2       4.0     1.000     0.000
  0   101.388     0.034      22.5       1.6      11.6       3.1     1.000     0.000
  0   109.134     0.046      21.1       1.9      10.1       2.7     1.000     0.000
  0   116.891     0.058      17.2       2.0       8.5       3.0     1.000     0.000
  0   124.885     0.048      12.8       1.9       7.0       1.9     1.000     0.000
  2    77.615     0.043      13.6       1.9      11.0       2.3     1.000     0.000
  2    85.007     0.100      15.5       2.8       6.2       6.3     1.000     0.000
  2    92.731     0.027      20.1       1.9       6.3       6.2     1.000     0.000
  2   100.608     0.076      20.6       2.2       2.3      11.0     1.000     0.000
  2   108.379     0.034      22.8       1.6       3.0       3.0     1.000     0.000
  2   116.255     0.044      18.9       1.7       2.9       2.9     1.000     0.000
  2   124.188     0.094      15.4       1.6       1.4       1.4     1.000     0.000
  2   132.242     0.081      14.3       0.9       1.5       1.5     1.000     0.000
  2   140.286     0.058       9.5       1.0       3.7       3.7     1.000     0.000
  1    84.590     0.002       2.6       1.0       0.0       0.0     0.332     0.445
  1    89.789     0.009      13.1       1.9      67.3      12.2     1.000     1.000
  1    96.891     0.009       6.7       1.8     207.0     119.1     0.401     0.787
  1    97.801     0.032      10.0       2.4     106.9      51.8     0.381     1.000
  1   105.580     0.012       8.1       3.0     203.1     132.1     0.740     0.956
  1   105.699     0.032      12.9       3.0      73.4      23.8     1.000     0.956
  1   112.818     0.006       8.1       2.0     276.1     120.1     0.999     0.991
  1   113.063     0.024      12.3       2.1      70.0      20.7     1.000     0.991
  1   120.687     0.015      11.3       3.2      84.8      61.3     1.000     1.000
  1   120.865     0.090       7.9       3.1     149.4     121.4     0.988     1.000
  1   123.773     0.004       2.0       1.2       0.0       0.0     0.794     0.327
  1   129.189     0.013      10.9       1.6      64.5       9.4     1.000     1.000
  1   131.729     0.003       5.3       5.1       0.0       0.0     0.980     0.604
