version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11716326
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   222.459     0.269    16.733     0.006    16.725     0.004     2.109     0.010   223.540     0.005    0.0001    0.0001     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0   109.500     0.079       7.4       1.2      21.9      20.8     0.977     0.000
  0   126.411     0.016       3.8       0.7      83.6      13.4     0.938     0.000
  0   157.527     0.023       6.1       1.2      65.0      21.4     1.000     0.000
  0   173.789     0.028       7.8       1.3      37.9      19.7     0.999     0.000
  0   190.085     0.010      14.0       1.6      58.8      17.9     1.000     0.000
  0   206.850     0.008      27.4       1.1      47.8       8.0     1.000     0.000
  0   223.518     0.007      35.5       1.5      55.5       8.1     1.000     0.000
  0   240.257     0.009      24.6       1.7      40.5       8.1     1.000     0.000
  0   257.238     0.024       9.3       1.0      24.4       8.7     1.000     0.000
  0   274.159     0.104       4.5       1.1      36.4      19.7     0.999     0.000
  2   171.496     0.015       7.5       1.3      21.6      12.1     1.000     0.000
  2   187.852     0.019      10.4       1.3      13.6      13.6     1.000     0.000
  2   204.808     0.014      15.0       1.6      12.1      21.6     1.000     0.000
  2   221.439     0.007      27.3       2.7      14.3      14.3     1.000     0.000
  2   238.157     0.012      19.0       1.7       8.8       8.8     1.000     0.000
  2   255.011     0.091      10.8       1.1       5.6       5.6     1.000     0.000
  1   110.053     0.003       2.9       1.4       0.0       0.0     0.672     0.533
  1   112.555     0.002       2.6       1.0       0.0       0.0     0.203     0.595
  1   149.669     0.002       3.9       2.4       0.0       0.0     0.998     0.607
  1   165.569     0.029       6.3       1.6     143.6      95.6     0.732     0.931
  1   181.585     0.007      11.6       3.1     267.8     118.5     1.000     1.000
  1   181.646     0.028      10.1       2.6     120.3      60.3     1.000     1.000
  1   183.262     0.004       8.4       1.7     318.6     102.4     1.000     0.906
  1   185.922     0.002       3.0       1.6       0.0       0.0     1.000     0.239
  1   192.037     0.002       1.8       0.6       0.0       0.0     0.840     0.306
  1   195.200     0.007       6.3       1.5     273.2      96.2     1.000     0.941
  1   197.856     0.008      16.2       2.9     149.0      98.7     1.000     1.000
  1   199.573     0.007      16.6       5.0     251.8     110.3     1.000     0.993
  1   202.618     0.001       3.9       1.1       0.0       0.0     1.000     0.446
  1   204.336     0.006       9.7       2.4       0.0       0.0     1.000     0.446
  1   206.158     0.001       3.4       1.4       0.0       0.0     1.000     0.110
  1   213.400     0.004      20.2       4.0     200.5      92.2     1.000     0.997
  1   215.498     0.003      45.0       6.7     272.1      93.0     1.000     0.999
  1   218.390     0.003      12.7       1.9     343.8      92.3     1.000     0.908
  1   220.577     0.003       8.2       1.6     377.8      81.8     1.000     0.911
  1   222.426     0.004       9.3       1.9     314.8      94.8     1.000     0.911
  1   226.694     0.002       7.8       1.6     405.0      71.0     1.000     1.000
  1   230.581     0.004      32.3       5.7     253.0      98.0     1.000     1.000
  1   230.782     0.040       5.3       1.5     309.2     109.8     0.310     1.000
  1   232.671     0.004      30.4       4.1     119.4      43.1     1.000     1.000
  1   236.558     0.003       6.0       0.9       0.0       0.0     1.000     0.385
  1   236.633     0.001       4.5       1.1       0.0       0.0     1.000     0.385
  1   241.345     0.004       4.7       1.0     335.9      87.4     1.000     0.872
  1   246.136     0.006       9.7       1.5     173.8      54.5     1.000     0.999
  1   248.803     0.013      14.9       2.2      66.7      18.7     1.000     1.000
  1   248.972     0.024       9.3       2.2     117.7      85.9     1.000     1.000
  1   252.539     0.005       7.2       1.6     290.6      99.7     1.000     0.886
  1   256.887     0.001       1.5       0.6       0.0       0.0     1.000     0.558
  3   227.101     0.011      10.7       1.8      80.7      42.1     1.000     1.000
