version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  10029821
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    64.410     0.347     5.930     0.011     5.932     0.007     0.809     0.016    65.048     0.012    0.0116    0.0018     2
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    36.444     0.131      15.5       4.6      55.1      24.2     0.986     0.000
  0    47.726     0.033      27.0       3.6      24.2      11.3     1.000     0.000
  0    53.340     0.021      42.5       2.4      19.1       5.2     1.000     0.000
  0    59.132     0.013      50.6       1.6      26.3       5.3     1.000     0.000
  0    65.096     0.015      54.7       1.6      21.6       4.4     1.000     0.000
  0    70.965     0.025      44.0       2.3      14.5       3.0     1.000     0.000
  0    77.028     0.045      29.8       3.1      10.1       3.5     1.000     0.000
  0    83.033     0.048      18.1       3.4      21.2      12.6     1.000     0.000
  2    52.479     0.018      29.6       3.8      18.9       1.8     1.000     0.000
  2    58.319     0.021      35.4       3.5       8.4       8.4     1.000     0.000
  2    64.287     0.071      48.7       4.4       1.8      18.9     1.000     0.000
  2    70.193     0.023      40.6       3.0       4.4       4.4     1.000     0.000
  2    76.386     0.075      28.7       3.6       3.4       3.4     1.000     0.000
  2    82.363     0.123      23.6       3.1       2.6       2.6     1.000     0.000
  2    88.598     0.152      13.3       3.0      10.0      10.0     1.000     0.000
  1    45.951     0.001       4.0       1.1       0.0       0.0     0.626     0.203
  1    50.699     0.009      22.2       5.6     197.3     122.5     1.000     0.982
  1    55.998     0.010      21.4       5.7     169.9     103.9     1.000     0.997
  1    56.597     0.011      28.2       9.9     148.5      92.5     1.000     0.999
  1    61.540     0.008      25.8       3.4     114.6      21.0     1.000     1.000
  1    62.226     0.005      38.4       2.8      70.4      10.5     1.000     1.000
  1    62.941     0.011      14.9       4.6     240.8     103.9     0.959     0.968
  1    67.779     0.030      17.4       4.3      83.9      42.7     0.952     1.000
  1    67.909     0.005      25.2       3.5      82.6      23.3     1.000     1.000
  1    68.611     0.007      22.8       2.8     114.8      17.9     1.000     0.998
  1    69.631     0.008       9.3       2.9     322.1      98.7     0.968     0.854
  1    73.265     0.008      16.3       2.3     132.3      23.6     1.000     0.997
  1    74.132     0.006      36.8       2.9      63.3       4.6     1.000     1.000
  1    75.102     0.018      16.3       3.8     176.3      55.9     1.000     0.998
  1    77.914     0.011       9.6       2.8     200.1     112.7     0.958     0.954
  1    79.302     0.015      11.3       3.2     262.3     112.7     0.997     1.000
  1    80.246     0.007      24.1       2.8      76.0      13.1     1.000     1.000
  1    81.500     0.006       7.9       2.4     302.1      98.7     0.996     0.825
  1    84.647     0.005       8.4       2.2     321.0     109.2     0.999     0.878
  1    85.865     0.071      10.6       2.8      97.6      67.7     0.858     1.000
  1    86.188     0.012       8.4       2.5     192.9     127.7     0.839     1.000
  1    88.971     0.043       7.3       2.5     314.2     314.2     0.783     0.711
  3    72.069     0.013       8.1       2.9     218.8     126.2     0.418     0.673
