version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5517442
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    36.420     0.241     4.041     0.010     4.042     0.005     0.590     0.012    39.627     0.010    0.0021    0.0015     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    23.915     0.019      32.1       6.9      74.5      17.8     0.989     0.000
  0    27.833     0.015      48.0       8.3      64.8      21.8     1.000     0.000
  0    31.570     0.022      75.2       5.8      23.0       7.9     1.000     0.000
  0    35.599     0.021      73.9       6.1      23.9       8.0     1.000     0.000
  0    39.619     0.029      79.9       5.3      16.1       5.4     1.000     0.000
  0    43.695     0.030      57.6       5.4      16.7       5.9     1.000     0.000
  0    47.970     0.216      15.3       8.4      38.8      21.6     0.993     0.000
  2    27.254     0.063      53.4       8.4      10.5       7.2     1.000     0.000
  2    31.034     0.070      64.2       9.6       6.4       6.4     1.000     0.000
  2    34.963     0.020      77.8       5.0       7.2      10.5     1.000     0.000
  2    39.123     0.078      79.7       5.9       1.9       1.9     1.000     0.000
  2    43.101     0.030      57.4       5.8       8.5       8.5     1.000     0.000
  2    47.529     0.062      34.5       5.3      10.1      10.1     1.000     0.000
  2    51.613     0.120      18.4       4.9      12.7      12.7     0.981     0.000
  1    26.016     0.003      13.9       8.5       0.0       0.0     0.812     0.503
  1    26.193     0.002      13.2       8.2       0.0       0.0     0.642     0.620
  1    26.392     0.012      17.6       8.9     309.0     107.0     0.366     0.626
  1    29.551     0.003      16.6       9.3       0.0       0.0     0.984     0.676
  1    29.769     0.011      29.7      12.0     245.7     117.8     0.894     0.939
  1    29.957     0.006      37.0      12.1     343.5      99.3     1.000     0.802
  1    30.179     0.007      30.3       8.8     304.4     304.4     0.999     0.829
  1    30.426     0.009      23.7      10.5     320.1     100.6     0.712     0.774
  1    32.856     0.016      24.7       8.5     280.3     280.3     0.906     0.788
  1    33.108     0.003      17.9       9.4       0.0       0.0     1.000     0.601
  1    33.352     0.003      13.3       7.7       0.0       0.0     0.438     0.446
  1    33.601     0.003      50.2       9.7     316.7     101.9     1.000     0.909
  1    33.627     0.004      44.6      10.0     347.9      89.9     1.000     0.909
  1    33.870     0.011      36.2      16.7     295.4     108.5     0.957     0.926
  1    36.223     0.004      19.4       4.8     326.6     108.6     0.521     0.866
  1    36.999     0.009      25.6      10.7     306.2     101.8     0.999     0.907
  1    37.363     0.005      38.6       4.8     151.8      59.9     1.000     1.000
  1    37.679     0.018      45.5      14.9     199.5     116.4     1.000     0.991
  1    38.002     0.011      46.7      19.0     282.5     105.2     1.000     0.970
  1    38.745     0.037      19.2       8.4     299.6     299.6     0.795     0.767
  1    40.582     0.002      10.0       4.4       0.0       0.0     0.880     0.697
  1    41.462     0.007      45.9       9.1     196.4     196.4     1.000     1.000
  1    41.807     0.012      40.2      15.1     176.0     104.9     1.000     0.995
  1    42.231     0.011      32.5      11.8     250.2     104.8     0.999     0.974
  1    42.691     0.008      18.7       6.7     328.8      96.0     0.974     0.827
  1    44.848     0.009      14.7       5.5     276.6     121.1     0.257     0.772
  1    45.341     0.110      15.8      10.7     251.0     121.0     0.245     0.993
  1    45.405     0.014      25.9      10.3     199.2     106.3     1.000     0.993
  1    45.790     0.007      29.4       4.6     123.5      67.0     1.000     0.997
  1    46.259     0.007      26.7       4.9     197.0      85.5     1.000     0.969
  1    46.866     0.003      17.7       3.7     309.1     102.1     0.992     0.919
