version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  11241927
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    26.133     0.192     2.964     0.007     2.941     0.004     0.391     0.010    26.277     0.008    0.0155    0.0021     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    20.534     0.019      86.7       8.0      37.8      13.1     1.000     0.000
  0    23.306     0.009     102.0       7.4      68.2      15.8     1.000     0.000
  0    26.315     0.009     131.7       6.1      54.6      13.3     1.000     0.000
  0    29.219     0.008     100.1       6.7      64.0      15.0     1.000     0.000
  0    32.263     0.024      73.5       5.8      21.0       8.4     1.000     0.000
  0    35.358     0.027      46.5       6.4      17.8       8.0     1.000     0.000
  2    20.151     0.010      61.7      10.6      17.1      11.2     1.000     0.000
  2    22.911     0.022      95.0       8.9      10.2      10.2     1.000     0.000
  2    25.916     0.014     124.0       9.2      11.2      17.1     1.000     0.000
  2    28.811     0.021      99.2       6.7       7.0       7.0     1.000     0.000
  2    31.854     0.026      74.3       5.3       6.7       6.7     1.000     0.000
  2    34.982     0.042      52.9       4.4       5.7       5.7     1.000     0.000
  2    38.004     0.024      25.4       4.2      13.4      13.4     1.000     0.000
