version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3219744
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    47.160     0.214     5.107     0.009     5.056     0.004     0.693     0.011    45.951     0.008    0.0156    0.0014     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    31.144     0.023      30.6       6.3      65.7      20.5     1.000     0.000
  0    36.034     0.016      55.6       5.7      45.8      16.0     1.000     0.000
  0    40.882     0.013      71.0       5.2      39.0      12.1     1.000     0.000
  0    46.002     0.010      97.1       3.0      35.9       6.4     1.000     0.000
  0    50.999     0.011      85.2       4.9      40.6       9.5     1.000     0.000
  0    56.214     0.027      47.9       4.3      18.5       6.5     1.000     0.000
  0    61.394     0.037      28.1       4.9      24.0      15.8     1.000     0.000
  2    35.349     0.029      34.0       6.7      21.6       8.0     0.924     0.000
  2    40.139     0.013      62.1       7.1      17.2      16.1     1.000     0.000
  2    45.287     0.011      78.9       8.5      16.1      17.2     1.000     0.000
  2    50.352     0.012      85.9       4.6       8.0      21.6     1.000     0.000
  2    55.563     0.021      47.6       4.5       9.1       9.1     1.000     0.000
  2    65.803     0.053      14.6       3.4      19.1      19.1     0.995     0.000
  1    38.544     0.015      30.0      13.2     199.7     120.0     0.695     1.000
  1    38.656     0.004      12.8       6.0       0.0       0.0     0.978     0.706
  1    43.426     0.017      25.6      10.8     189.5     121.6     0.892     1.000
  1    43.621     0.004      69.5      13.1     277.6     111.8     1.000     0.959
  1    43.669     0.008      46.5      14.6     219.3     126.6     0.997     0.959
  1    43.799     0.003      30.2       6.2     328.3     106.2     1.000     0.880
  1    43.944     0.011       5.9       2.9       0.0       0.0     0.592     0.741
  1    48.127     0.003       8.4       5.3       0.0       0.0     0.727     0.576
  1    48.330     0.013      20.3       8.8     249.4     122.4     0.793     0.939
  1    48.414     0.003      10.0       5.1       0.0       0.0     0.451     0.298
  1    48.470     0.002       9.2       5.1       0.0       0.0     0.497     0.298
  1    48.560     0.013      18.6       9.0     284.3     116.8     0.310     0.911
  1    48.634     0.007      60.9       9.5     105.0      43.6     1.000     1.000
  1    48.710     0.007      37.7      10.8     271.6     125.9     0.996     1.000
  1    48.784     0.009      44.4      10.6     205.1     105.7     1.000     1.000
  1    48.849     0.032      25.1      11.7     254.7     123.5     0.643     1.000
  1    53.466     0.006      12.7       5.5       0.0       0.0     0.777     0.371
  1    53.508     0.002      10.5       6.0       0.0       0.0     1.000     0.371
  1    53.690     0.009      34.4       9.5     240.1     121.9     1.000     1.000
  1    53.752     0.015      37.5      10.2     193.9     119.2     1.000     1.000
  1    53.846     0.011      30.6       9.9     258.1     121.6     1.000     1.000
  1    53.926     0.006      43.8       8.4     242.5     112.5     1.000     1.000
  1    58.813     0.003       7.2       4.0       0.0       0.0     0.427     0.692
  1    59.028     0.025      20.5       9.2     188.0     132.6     0.959     1.000
  1    59.106     0.015      30.2       8.5     114.3      78.3     1.000     1.000
  3    46.817     0.035      18.1       7.4     250.2     126.8     0.588     0.812
  3    46.872     0.011      16.9       6.9     248.5     137.5     0.853     0.812
