version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  3759654
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    92.334     0.385     7.864     0.020     7.715     0.010     0.954     0.023    86.375     0.018    0.0160    0.0020     2
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    56.062     0.023       8.3       1.7      57.7      23.1     0.956     0.000
  0    71.340     0.030      20.3       2.1      19.4       7.4     1.000     0.000
  0    78.620     0.024      32.3       1.4      14.1       3.2     1.000     0.000
  0    86.409     0.021      34.8       1.7      16.4       3.6     1.000     0.000
  0    94.253     0.015      32.6       2.1      25.2       6.3     1.000     0.000
  0   101.983     0.025      31.7       1.7      12.9       2.9     1.000     0.000
  0   109.872     0.024      21.7       1.7      18.1       4.9     1.000     0.000
  0   117.784     0.021      17.1       1.7       6.3       2.0     1.000     0.000
  0   127.146     0.068       3.9       1.2      26.9      15.8     1.000     0.000
  2    62.516     0.077      15.6       2.9      14.2       2.1     0.998     0.000
  2    70.278     0.063      15.2       2.3      11.4       2.1     0.999     0.000
  2    77.726     0.035      25.8       2.4       4.4       4.4     1.000     0.000
  2    85.344     0.038      31.9       2.2       2.1      11.4     1.000     0.000
  2    93.367     0.029      33.8       1.6       2.1      14.2     1.000     0.000
  2   101.031     0.040      32.4       1.4       1.4       1.4     1.000     0.000
  2   108.936     0.058      24.6       1.0       1.0       1.0     1.000     0.000
  2   116.538     0.107      19.3       0.9       1.3       1.3     1.000     0.000
  2   125.126     0.133      13.1       0.8       0.6       0.6     1.000     0.000
  2   133.042     0.091       8.2       1.3       6.6       6.6     1.000     0.000
  1    67.331     0.020      13.3       4.0     267.2      83.1     0.916     0.942
  1    74.211     0.007      11.7       2.1     155.7      64.9     1.000     1.000
  1    75.123     0.014      16.8       3.4     102.8      55.6     1.000     1.000
  1    75.289     0.009      14.6       3.4     165.2     102.6     1.000     1.000
  1    76.241     0.004       6.7       1.7     326.6      99.5     0.412     0.792
  1    82.146     0.021      22.9       5.1      80.7      36.2     1.000     1.000
  1    82.278     0.013      22.3       5.1     113.0      76.6     1.000     1.000
  1    83.176     0.016      15.9       4.2     196.9     100.1     1.000     1.000
  1    83.305     0.007      28.7       5.2     156.1      69.0     1.000     1.000
  1    84.719     0.004       9.0       2.1     330.5      90.7     0.995     0.919
  1    86.101     0.009       7.7       2.5     314.2      92.1     0.749     0.923
  1    88.451     0.008      13.8       1.8      87.4      28.9     1.000     1.000
  1    90.068     0.010      32.1       4.2      84.5      27.6     1.000     1.000
  1    90.174     0.054      17.8       5.4     138.7      92.3     0.998     1.000
  1    91.220     0.031      14.2       4.8     219.9     102.9     0.997     1.000
  1    91.348     0.012      29.3       4.6     134.2      32.8     1.000     1.000
  1    93.094     0.003       8.2       1.4     307.9      91.4     1.000     0.889
  1    95.356     0.011      15.9       1.8      58.3       7.7     1.000     1.000
  1    96.278     0.002       2.8       1.5       0.0       0.0     0.511     0.454
  1    97.347     0.009      20.8       3.9     123.4      47.1     1.000     1.000
  1    97.517     0.013      17.4       3.7     140.5      65.0     1.000     1.000
  1    98.262     0.009       6.0       1.9     252.4     121.9     0.756     0.849
  1    98.663     0.012      25.9       4.7      95.7       9.9     1.000     1.000
  1    98.798     0.011      28.5       4.7      96.2      10.1     1.000     1.000
  1   103.263     0.009      12.5       1.2      56.4       5.2     1.000     0.999
  1   105.308     0.028      13.7       2.8      81.9      13.5     0.999     1.000
  1   105.509     0.011      19.7       3.1      86.5      20.1     1.000     1.000
  1   106.496     0.010       4.3       1.5     269.3     121.5     0.972     0.564
  1   106.791     0.010      22.8       4.1     124.6      38.2     1.000     1.000
  1   106.974     0.019      15.3       4.0     140.4      61.9     1.000     1.000
  1   111.996     0.024       8.1       1.9     125.5      90.2     0.990     1.000
  1   112.195     0.010      10.9       2.0      81.0      46.9     1.000     1.000
  1   114.112     0.010      20.9       2.1      66.2       5.3     1.000     1.000
  1   114.391     0.008       3.6       1.3     311.6     114.5     0.923     0.708
  1   114.478     0.228       5.0       1.6     207.8     116.3     0.220     1.000
  1   119.508     0.014       6.8       2.5     180.6     129.0     0.990     1.000
  1   121.674     0.033       8.5       2.2     121.0      59.7     0.998     1.000
  1   121.852     0.009       8.5       2.1     173.3      99.4     1.000     1.000
  1   124.126     0.038       5.7       2.0     242.4     242.4     0.833     0.807
  3   111.650     0.007       3.7       1.2     252.0     156.4     0.850     0.442
