version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5650420
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    33.749     0.184     3.775     0.007     3.777     0.004     0.504     0.011    33.914     0.009    0.0144    0.0021     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    26.539     0.015      58.4       6.7      53.1      17.6     1.000     0.000
  0    30.137     0.010      87.2       4.9      49.7      13.8     1.000     0.000
  0    33.965     0.009      96.8       6.7      54.7      14.4     1.000     0.000
  0    37.669     0.012      75.9       5.4      43.1      12.2     1.000     0.000
  0    41.566     0.036      50.4       4.4      14.2       5.8     1.000     0.000
  0    45.602     0.233      11.2       7.5      34.8      20.9     0.918     0.000
  0    49.615     0.041      15.1       3.4      43.9      13.9     0.999     0.000
  2    29.609     0.014      72.2       8.2      16.4      11.1     1.000     0.000
  2    33.438     0.011      98.7       5.9      11.1      16.4     1.000     0.000
  2    37.185     0.017      75.8       5.3       7.4       7.4     1.000     0.000
  2    41.120     0.030      37.9       6.7      19.4      19.4     1.000     0.000
  2    45.130     0.171      25.4       6.7      13.9      13.9     0.999     0.000
