ID;fmax;fmax_e;dnu_cor;dnu_cor_e;dnu02;dnu02_e;fm;fm_e;dnu;dnu_e;alp;alp_e;evo
8173581;99.496534;0.26168832;8.7548282;0.0047457693;1.1135886;0.010486551;97.991912;0.0070949189;8.7809878;0.0097659155;0.0047492746;0.00083148835;0
8173696;20.610543;0.14835347;2.7166509;0.0070756929;0.39061091;0.010987431;19.120650;0.0091715016;2.7718690;0.0078608734;0.019121724;0.0040698420;0
8173725;48.448636;0.25186365;4.9463455;0.0060971188;0.66547080;0.012653907;49.382975;0.0092430383;4.9813471;0.0080502743;0.010755158;0.0020108263;1
8173921;48.095183;0.19571148;4.9864657;0.0056710813;0.68061410;0.010249450;45.630708;0.0074559436;5.0391197;0.0070018279;0.015480329;0.0016221235;0
8174161;46.884588;0.29261070;4.5439553;0.0044286413;0.55163295;0.010912763;45.649616;0.0082098029;4.5637058;0.0093178106;0.0098613546;0.0016415434;0
8175027;133.24509;0.28463740;10.987044;0.0042556557;1.3656609;0.010103831;134.06937;0.0075417103;10.939231;0.0071932146;0.0053478398;0.00058178447;0
8175438;41.715571;0.23750175;4.4678724;0.010305099;0.70611607;0.022967455;43.976812;0.016289471;4.4799359;0.015354696;0.0088236664;0.0033055122;1
8175678;67.826303;0.19787861;6.6901529;0.0039909767;0.91744110;0.0094240414;67.627535;0.0071178164;6.6863177;0.0064059459;0.0099261122;0.00093969333;0
8176259;74.693098;0.19883909;7.2954442;0.0043622335;0.99600468;0.0097404146;74.098460;0.0067378963;7.2799810;0.0063968615;0.0091387211;0.00095125060;0
8176543;13.314256;0.12691100;1.9080785;0.0033371685;0.27071722;0.0078030911;13.146143;0.0058833034;1.9406815;0.0078036589;0.028128685;0.0027309766;0
8176733;5.5756833;0.084032012;0.94768950;0.0043129823;0.15173458;0.0060044118;4.8007469;0.0040925866;1.0167262;0.0068192799;0.066161687;0.0033611732;0
8176777;210.07185;0.47372539;15.249198;0.0047610249;1.8138351;0.014056478;203.85684;0.0077526010;15.240345;0.0075345100;0.0018788607;0.00048828907;0
8176893;71.644782;0.25804716;6.5635710;0.0042232377;0.83097877;0.0092710254;72.833988;0.0073714679;6.5459799;0.0069237759;0.0053904858;0.0010037202;0
8176905;9.5180417;0.10328159;1.5044055;0.0056529526;0.20490212;0.0087152706;10.024019;0.0088874667;1.4960607;0.0079657786;0.0024985798;0.0023296838;0
8178600;31.578014;0.21749127;3.9721855;0.0061212152;0.62462743;0.015247275;34.879773;0.011645741;3.9384696;0.011362692;0.015575212;0.0022415150;1
8181700;46.312023;0.26741196;4.5375651;0.0055571241;0.63926953;0.013617272;45.382440;0.011088876;4.6204820;0.011704284;0.020220078;0.0019136544;1
8188772;127.49349;0.31405595;10.137403;0.0043719090;1.2417388;0.011768763;124.08093;0.0094374632;10.142051;0.0094547506;0.0046136269;0.00069942266;0
8191905;191.16349;0.78727979;14.121981;0.0053589412;1.7170054;0.012569035;187.96547;0.0071756189;14.089534;0.0072762335;0.00066480215;0.00044913116;0
8192188;14.109682;0.22110326;1.9448435;0.011600158;0.32582319;0.016921916;15.206259;0.015540383;1.9664840;0.015354980;0.0077298195;0.0062028024;0
8192753;239.02137;0.48110215;17.340108;0.0057177505;2.1095608;0.011801155;232.23353;0.0077420679;17.374332;0.0083202190;0.00054642387;0.00035728236;0
8192892;120.07327;0.29407685;10.355989;0.0036681191;1.3641630;0.0091496413;116.45208;0.0075443470;10.341836;0.0063848355;0.0068309406;0.00057934746;0
8195153;72.494581;0.22213742;7.0184250;0.0045670203;0.95961634;0.010016459;71.224145;0.0075733455;7.0528293;0.011232022;0.010543281;0.0010727960;0
8195595;66.291022;0.24900912;6.4411711;0.0043602060;0.85920725;0.010813129;65.326586;0.0081682413;6.4741904;0.010484546;0.0098904670;0.0010930695;0
8196436;40.841473;0.23068404;4.1408414;0.0039936999;0.52462600;0.0099869657;41.311255;0.0069231608;4.1355399;0.0075037788;0.0056494732;0.0016013218;0
8197210;45.362654;0.22433500;4.6446573;0.0058804952;0.71042487;0.013695119;46.125919;0.011722937;4.6903038;0.010382119;0.0076490585;0.0020002323;1
8197719;106.40200;0.45199640;8.3518541;0.0082461534;0.99287721;0.021642967;101.60602;0.015158497;8.3880368;0.019790653;0.0060055052;0.0016150343;2
8210306;72.618551;0.23950115;7.1352283;0.0081389441;0.92116772;0.012459017;78.431860;0.010623995;7.0082159;0.0084774695;0.017635381;0.0016710091;0
8211573;72.584278;0.24588076;6.8397956;0.0041513892;0.89149443;0.010275431;69.780427;0.0069001110;6.8808183;0.0076851656;0.010151392;0.00091235932;0
8212479;20.826627;0.14993595;2.6935952;0.0035129974;0.47517232;0.0028437640;19.174406;0.0063996532;2.7777348;0.012727979;0.0092008453;0.0021438721;0
8212786;20.088653;0.14549013;2.5293214;0.0037529779;0.34403158;0.0084481391;20.090688;0.0061087325;2.5744880;0.0062645908;0.018287070;0.0023565352;0
8213138;59.442338;0.21489796;6.1782216;0.0041344988;0.82240609;0.0082514139;62.016569;0.0069804062;6.1454464;0.0066705514;0.0077229484;0.00098604910;0
8213984;49.628903;0.24203431;4.9446003;0.0072136054;0.76244659;0.016024602;45.215869;0.010574544;5.0628234;0.0098505856;0.019256590;0.0021100859;2
8217125;53.972383;0.21331244;5.4726324;0.0040816745;0.73134310;0.0084995969;54.912148;0.0059425632;5.4517734;0.0064032362;0.010797048;0.0010534486;0
8217514;31.955872;0.23974282;3.7336632;0.0081124981;0.53484646;0.018803560;29.979499;0.013779319;3.8628504;0.014513152;0.023883708;0.0033170084;1
8217977;22.509492;0.15343550;3.0076928;0.032017514;0.49671437;0.017013176;18.489471;0.015004656;3.2572424;0.015581240;0.043051028;0.010185186;1
8218568;116.86939;0.39724827;9.8542893;0.0050036345;1.2579175;0.010476257;110.95463;0.0073981771;9.8805874;0.0065264181;0.0058227014;0.00078252989;0
8218803;4.3985708;0.070868490;0.81835024;0.0037354791;0.12888085;0.0055294081;3.9663361;0.0049449619;0.85339845;0.0064086891;0.035468227;0.0080708284;0
8218906;30.375445;0.25575641;3.7325326;0.016210565;0.57276459;0.019308341;26.392908;0.013082867;3.8317007;0.010575639;0.022040294;0.0050599644;1
8219000;43.815522;0.22957212;4.7479165;0.0048067152;0.65146381;0.010044024;43.187489;0.0076333314;4.7855800;0.0083498515;0.016589236;0.0015965054;0
8219022;143.59287;0.20531864;12.462003;0.0045225788;1.6683859;0.010887380;140.39559;0.0065399892;12.443099;0.0068072022;0.0068162909;0.00054578490;0
8219070;30.053926;0.19869413;4.1140710;0.013371149;0.67092598;0.031553680;28.648110;0.014269393;4.2805812;0.017618120;0.030192912;0.0046504284;1
8219125;63.784309;0.24511495;6.2682303;0.0041088262;0.83059833;0.0099634287;63.394597;0.0078318745;6.2682608;0.0068019896;0.013680335;0.0010923916;0
8219268;110.83694;0.24498417;9.3998359;0.0047055409;1.1803006;0.0099782976;105.74235;0.0076276050;9.4581710;0.0075666374;0.0077238756;0.00071650844;0
8222691;30.149933;0.20230350;4.0746663;0.015513564;0.65878654;0.027883186;28.228999;0.018183994;4.2428495;0.018417719;0.029411847;0.0053584972;1
8222944;92.681491;0.25609385;8.1682759;0.0038377812;1.0407115;0.0095731612;91.402148;0.0076728942;8.1928535;0.0087287717;0.0059965959;0.00074484651;0
